word	rank_a	rank_b	english
que	1	1	that
e	6	7	and
para	12	9	for
por	13	16	for
como	18	24	how
está	19	12	to be
ao	23	46	contraction of a + o m sg
eu	26	10	I
ou	40	67	or
seu	45	74	his
nada	50	66	nothing
foi	55	34	to go
esta	59	77	this
algo	60	142	something
vai	63	42	to go
estou	64	37	to be
porque	65	50	because
este	66	88	this
te	69	49	you
casa	70	89	to marry
tempo	80	102	time
nunca	81	93	never
estás	84	58	to be
anos	95	131	year
vou	108	53	to go
sempre	110	122	always
ir	127	104	to go
mundo	129	216	world
verdade	135	150	truth
pai	139	105	father
estar	145	137	to be
estamos	156	124	to be
lugar	174	239	place
guerra	175	398	war
menos	181	217	less
contra	191	314	against
primeiro	198	237	first
tanto	205	309	so much
mal	208	211	badly
pois	213	174	so; then
nome	217	201	name
durante	218	299	during
tal	220	283	such
amor	223	269	love
vamos	224	39	to go
penso	227	489	to think
medo	237	326	fear
problema	251	224	problem
desde	255	274	since
rei	256	588	king
amigo	259	218	friend
morte	260	327	death
ano	263	344	year
primeira	266	323	first
dentro	275	245	inside
hora	278	257	hour
amigos	285	290	friend
filme	308	613	film; movie; motion picture
contigo	310	219	with you
porta	320	324	door
cinco	321	389	five
exército	322	864	army
mesma	327	384	same
pensar	339	210	to think
lado	343	226	side
matar	345	339	to kill
único	348	567	unique
estado	350	429	to be
morrer	351	315	to die
paz	358	536	peace
importante	359	372	important
semana	369	383	week
pensei	376	241	to think
sangue	402	381	blood
feliz	405	332	happy
pensas	421	798	to think
dez	431	643	ten
presidente	439	463	president
escola	445	413	school
abaixo	451	1039	down, downwards
pais	467	455	father
norte	469	979	north
seis	477	518	six
morreu	478	448	to die
luz	479	612	light
pensa	483	530	to think
tomar	489	506	to take
cama	490	538	bed
toma	492	625	to take
futuro	502	692	future
realidade	505	1126	reality
branco	517	1067	white
grupo	526	704	group
boca	547	651	mouth
pobre	551	1109	poor
centro	552	895	centre
música	554	614	music
única	557	370	unique
sistema	563	659	system
nacional	566	1602	national
resto	573	592	the rest
dólares	581	409	dollar
lei	584	866	law
perder	585	466	to lose
sete	587	823	seven
duro	588	1318	hard
exemplo	589	1174	example
papel	592	884	paper
voz	593	842	voice
café	598	608	coffee
roupa	599	841	clothing, clothes
ler	609	806	to read
lembro	614	918	to remember
crer	618	1916	to believe
hospital	627	595	hospital
semanas	637	563	week
diferente	643	554	different
longo	649	1131	long
oportunidade	652	586	opportunity
casas	658	1510	structure serving as an abode of human beings
hotel	666	825	hotel
anda	667	252	to walk
casar	670	857	to marry
estará	685	1077	to be
idade	690	790	age
soldado	694	1427	soldier
ouro	698	992	gold
calor	705	1643	heat
público	713	1086	public
conseguir	720	504	to get, obtain
oito	725	934	eight
existe	735	641	to exist
aqueles	747	618	that
fomos	758	820	to go
resposta	761	779	answer, response
alma	767	997	soul
mesa	768	750	table
saúde	772	1075	health
tempos	775	875	time
fácil	780	495	easy
poucos	797	1795	few
elas	807	477	they
militar	811	1706	military
arte	817	1356	art
perigo	822	993	danger
beber	828	624	to drink
inimigo	831	1314	enemy
baixa	842	1557	low
ponte	843	1565	bridge
dor	851	831	pain
parar	856	430	to stop
matou	869	566	to kill
estados	882	1495	state
americanos	897	1516	American
americano	907	1379	American
bebé	910	499	baby
aquela	912	328	that
vento	915	1748	wind
espírito	918	1323	spirit
suficiente	921	456	sufficient; enough
ataque	924	765	to attack
neve	940	1952	snow
acaba	943	1092	to finish
sente	949	1072	to seat
calma	953	425	calm
irei	957	1087	to go
época	962	1601	time, season
amiga	964	665	friend
nove	968	1278	nine
branca	979	1330	white
flores	985	1487	flower
