word	rank_a	rank_b	english
que	1	2	that
e	6	435	and
está	19	21	to be
pero	25	23	but
con	28	19	with
aquí	29	33	here
ti	38	118	you
era	51	72	to be
ser	54	63	to be
esta	59	45	this
porque	65	76	because
este	66	60	this
nunca	81	98	never
estás	84	54	to be
estaba	86	82	to be
día	87	134	day
vida	89	122	life
tan	98	92	so, as
están	111	117	to be
es	115	8	to be
ir	127	128	to go
ese	128	85	that
esa	133	97	that
creo	144	79	to believe
estar	145	131	to be
estamos	156	139	to be
días	167	198	day
lugar	174	176	place
tres	179	201	three
menos	181	189	less
oh	195	101	oh
momento	212	166	moment, instant
tal	220	157	such
será	221	208	to be
amor	223	249	love
vamos	224	47	to go
país	248	578	country
desde	255	162	since
historia	257	313	history
amigo	259	191	friend
cabeza	262	273	head
somos	267	280	to be
familia	272	253	family
dentro	275	318	inside
fin	277	385	end
hora	278	244	hour
amigos	285	269	friend
sería	288	286	to be
razón	291	232	reason
eran	300	471	to be
contigo	310	229	with you
mamá	311	195	mum, mom
cinco	321	373	five
igual	336	424	in the same way; just like
lado	343	284	side
estado	350	169	to be
paz	358	559	peace
corazón	360	354	heart
tío	362	333	uncle
comer	365	486	to eat
semana	369	325	week
ah	387	274	ah
estaban	388	526	to be
palabra	418	531	word
punto	446	392	point
sol	468	813	sun
seis	477	525	six
luz	479	548	light
sur	480	1200	south
tomar	489	386	to take
cama	490	537	bed
toma	492	415	to take
futuro	502	704	future
palabras	506	649	word
propio	515	760	own
mar	519	1016	sea
grupo	526	681	group
pregunta	536	469	to ask
pobre	551	746	poor
música	554	572	music
malo	555	475	bad
falta	559	583	lack, shortage
sistema	563	744	system
capitán	579	476	captain
dólares	581	524	dollar
mes	582	812	month
perder	585	646	to lose
duro	588	613	hard
frío	590	1024	cold
papel	592	916	paper
voz	593	703	voice
equipo	596	396	team
atención	602	686	attention
silencio	605	885	silence
pagar	621	765	to pay
hospital	627	591	hospital
simplemente	631	511	simply
libro	633	607	book
exactamente	634	459	exactly
semanas	637	609	week
estabas	663	448	to be
hotel	666	754	hotel
esposa	679	363	wife
estará	685	542	to be
batalla	688	1337	battle
pan	691	1504	bread
dirección	693	828	direction
soldado	694	1439	soldier
calor	705	1333	heat
oficina	707	534	office
aquel	712	1269	that
público	713	1069	public
médico	722	696	doctor
arma	723	521	weapon, arm
pelo	728	775	hair
opinión	734	1049	opinion
existe	735	1083	to exist
aire	736	732	air
aprender	743	1202	to learn
escribir	751	1152	to write
serán	753	1213	to be
relación	759	781	relation
pronto	763	332	soon
alma	767	937	soul
mesa	768	816	table
televisión	806	1515	television
estaría	809	742	to be
militar	811	1851	military
arte	817	1191	art
posible	818	454	possible
causa	821	1076	cause
raro	827	651	rare
beber	828	1032	to drink
usar	838	659	to use
necesito	854	203	to need
memoria	855	1437	memory
