word	rank_a	rank_b	english
itu	6	16	that
dan	7	10	and
untuk	13	17	for
dengan	20	21	with
dari	22	27	from
tapi	24	31	alternative form of tetapi
jika	35	47	if
hanya	37	53	only
semua	38	30	all
sekarang	39	38	now, today
sini	40	29	here
dalam	42	28	inside, in, within
bukan	43	43	not
pada	50	40	at, on
lakukan	53	73	to do something
sangat	55	60	very
satu	56	51	one
siapa	61	61	who, whose
atau	69	77	or
datang	70	55	to come
melakukan	79	174	to do, to perform, to take action
bilang	87	504	to say
masih	88	82	still
sana	91	80	there
malam	98	111	night
sekali	105	160	once
beberapa	110	149	a few
mengapa	115	148	why
tunggu	120	113	to wait
yg	134	289	abbreviation of yang
ibu	135	153	mother
masalah	136	144	problem
belum	138	190	not yet
dua	141	141	two
cukup	144	205	sufficiently, adequately
selalu	145	222	always; forever; evermore
tuhan	146	142	god
seseorang	148	184	someone
setelah	150	391	after
makan	163	176	to eat
sayang	172	170	love
kali	173	171	times; multiplied by
tetap	174	317	continuously
mulai	181	496	starting
dunia	182	168	world
sebelum	189	157	before
sebenarnya	202	209	actually, in fact
tanpa	206	216	without
jam	207	262	hour
berapa	212	217	how many, how much
itulah	214	180	that's
ingat	215	169	to remember
pun	220	116	also, too
segera	225	396	soon
takut	229	235	afraid
nama	233	167	name
mu	244	561	alternative spelling of -mu
tiga	252	242	three
bawah	257	225	under, below
pagi	260	276	morning
keluarga	262	233	family
jauh	274	295	far
paling	278	244	most
cuma	289	123	only, merely
tua	293	362	old
minum	305	300	to drink
bulan	308	309	moon
sejak	310	329	since
tetapi	315	127	but
pintu	329	255	door
hati	332	250	liver
bermain	335	344	to play
tim	340	1192	team
berubah	351	384	to change, to shift
minggu	360	374	week
bunuh	363	177	to kill
kehidupan	365	319	life
berharap	367	506	to hope
darah	375	350	blood
dilakukan	381	468	to do something
lepaskan	397	293	let go
perang	406	410	war
pertanyaan	407	993	question
belajar	409	371	to study; to learn
suara	410	461	voice, utterance
lupa	411	418	to forget
muda	412	446	young
cerita	416	381	story
naik	418	360	to climb, to ascend, to rise
lima	429	389	five
kecuali	434	503	except
semakin	458	430	increasingly; more and more; getting; becoming
kesalahan	460	658	error
api	465	358	fire
bahasa	482	475	language
empat	485	455	four
setuju	493	520	to agree
janji	497	380	promise
tampak	499	1572	to look
surat	503	518	document
kelas	504	548	a group, collection, category or set sharing…
ulang	508	831	to repeat
jumpa	509	139	to meet; to encounter
sebaiknya	510	1062	preferably, better, one's best
namun	512	746	however
permainan	514	424	game
tutup	519	464	to close
terbang	525	332	to fly
laut	530	551	sea
perempuan	533	234	female
segala	534	568	everything
mesin	540	554	machine
berita	542	407	news
mimpi	544	523	dream
tembak	548	313	to shoot
berbahaya	551	643	dangerous; hazardous
tersebut	555	639	that, the aforementioned, said
berani	557	434	brave
hitam	564	491	black
lagu	568	577	song
tubuh	570	750	body
siang	571	1027	daytime
bersalah	574	574	to make a mistake
saling	579	774	each other, one another
paman	581	1399	uncle
manis	593	800	sweet
selain	597	627	in addition to, besides
bebas	600	593	free
juta	601	505	million
milik	606	445	property
benci	608	575	hatred
merah	614	566	red
arah	616	376	direction
menyesal	617	858	to regret
wajah	619	723	face
enam	621	594	six
lantai	625	986	floor
anggota	628	656	body part
jujur	631	757	honest, truthful
sibuk	635	636	busy
gagal	646	547	to fail
musik	650	1756	music
serangan	654	488	an attempt to cause damage, injury to, or death of opponent…
musuh	655	508	enemy, foe
pakaian	659	502	clothes; clothing
acara	667	937	agenda
memanggil	677	560	active of panggil
detik	682	1317	second
kini	685	500	now, today
tertawa	689	1784	to laugh
tujuan	695	705	goal, objective, aim, purpose
hutan	705	605	forest
menonton	707	674	to watch
utara	708	637	north
utama	709	543	best
kamera	710	608	camera
burung	711	553	bird
dewa	712	621	god
pahlawan	718	743	hero, patriot, a strong and brave warrior
perhatian	726	515	attention
kiri	728	534	left
menjual	730	815	to sell, to market
mengganggu	736	666	to disturb
pistol	737	537	a pistol
bahaya	738	532	danger
gelap	740	701	dark
ahli	742	369	expert
main	744	585	unpromptedly
kejadian	751	631	incident, occurrence
penjaga	765	970	guard; guardian
sampah	772	753	discarded items that are of no use
pemerintah	774	1605	government
lapar	776	708	hungry
emas	781	555	gold
meja	792	732	table
ikan	797	578	fish
jiwa	806	782	soul
selatan	810	744	south
lelah	811	1882	tired
tumbuh	818	1485	to grow
rambut	837	607	hair
pelacur	854	1052	prostitute
peluru	859	498	bullet, projectile, ammunition
binatang	862	797	animal
tujuh	874	785	seven
putus	877	1023	cut off
bercinta	879	1235	to be in love
lemah	881	673	weak
suami	885	638	husband
pemimpin	886	950	leader
langit	895	821	sky
angin	896	650	wind
lokasi	900	735	location
pihak	905	451	side
sungai	908	789	river
sepuluh	910	837	ten
pulau	911	626	island
menahan	912	924	active of tahan
hujan	921	878	rain
kucing	922	814	cat
mirip	923	1565	similar; look like; having similarity to
memotong	924	1049	active of potong
situ	929	486	there
sedih	939	842	sad; unhappy; sorrowful
seekor	941	718	tail
jantung	942	778	heart
warga	957	1231	member
lampu	959	685	lamp
gunung	964	759	mountain
pisau	971	856	knife
garis	973	1276	line, dash, stripe
biru	976	775	blue
kotor	982	894	dirty
bayangkan	987	688	to imagine
sisa	989	1390	residue, leftover, remains
darurat	995	1933	emergency
beli	999	572	to buy
radio	1004	855	radio
letakkan	1009	483	basic form of meletakkan
timur	1011	848	east
adik	1012	442	sibling person who shares same parents
pemain	1017	834	player
bayar	1020	541	to pay
supaya	1028	367	so that
selamatkan	1029	340	to help someone survive, or rescue someone
nyawa	1036	513	life
bir	1040	1065	beer
rendah	1041	731	low
jerman	1047	1121	German
