word	rank_a	rank_b	english
un	7	14	a, an
una	12	239	one
cui	142	768	whose
voi	150	54	you
problema	259	361	problem
ore	401	381	hour
ieri	446	621	yesterday
vede	696	908	to see
voce	710	1587	voice
speciale	767	1797	special
crede	798	398	to believe
test	1063	1433	test
gay	1089	1675	gay
club	1102	1129	club
regina	1140	1091	queen
nord	1264	1008	north
sexy	1315	1463	sexy
sud	1355	1046	south
idee	1512	333	idea
verde	1581	1275	green
pantaloni	1625	1712	pants, trousers
taxi	1656	1401	taxi
camion	1795	1664	lorry, truck
