word	rank_a	rank_b	english
e	1	435	and
la	5	5	the
un	7	11	a, an
no	23	3	not
oh	59	101	oh
ok	62	455	OK
va	63	100	to go
o	68	61	or
uno	106	135	one
madre	198	174	mother
mano	350	372	hand
papa	396	1545	pope
poco	492	133	little, not much
guerra	530	421	war, warfare
pistola	608	1262	pistol, handgun
causa	616	1076	cause
vivo	628	567	to live; to be alive
libro	666	607	book
cielo	706	618	sky
futuro	752	704	future
detective	822	874	detective
sala	977	858	room
bastardo	1004	1838	bastard
vive	1048	799	to live; to be alive
regalo	1055	899	present, gift
dura	1067	1728	hard
club	1102	889	club
oro	1106	946	gold
duro	1107	613	hard
viva	1162	1100	to live; to be alive
radio	1274	1127	radius
bomba	1287	1260	bomb
destino	1392	1085	destiny, fate
edificio	1397	1018	building
arte	1415	1191	art
uso	1530	1683	to use
verde	1581	1561	green
magia	1618	1635	magic
taxi	1656	1460	taxi
paga	1684	1723	to pay
usando	1719	1355	to use
genio	1841	1943	genius
pollo	1891	1792	chicken
universo	1927	1637	universe
