word	rank_a	rank_b	english
да	1	14	yes
и	7	5	and
или	68	65	or
дома	131	225	at home
три	177	249	three
брат	190	410	brother
два	193	201	two
две	200	478	two
кого	240	289	who
важно	242	442	importantly
против	253	300	against
момент	266	505	moment
вечер	275	540	evening
вода	309	1397	water
игра	316	1009	game
сестра	340	617	sister
утро	346	506	morning
мама	356	188	mama, mummy, mommy, mum, mom
над	395	335	above, over
скоро	412	339	soon
телефон	438	595	telephone
вчера	451	426	yesterday
мои	503	193	my, mine
тело	523	581	body
внимание	536	632	attention
он	545	10	he
доктор	547	227	doctor
агент	568	824	agent
книга	577	1709	book
мир	579	413	peace
идиот	623	1127	idiot
чисто	637	1670	cleanly, neatly
удар	648	1292	hit, blow, strike, kick, punch, cuff
невозможно	701	795	impossibly
пиво	703	1766	beer
совет	802	1282	advice
разговор	805	1186	talk, conversation
наш	839	280	our, ours
брак	910	1745	marriage, matrimony
шоу	995	745	show
нож	1000	1739	knife
детектив	1006	830	detective
рано	1055	946	early
сигнал	1059	1528	signal
просто	1062	35	simply, plainly, just
вкус	1070	1763	taste
закон	1097	1489	law
суд	1114	1142	court
ваш	1190	269	your, yours
море	1204	1628	sea
видео	1244	1322	video
код	1251	1856	code
хм	1289	1192	hmm, hum
генерал	1302	1635	general
они	1309	31	they
сто	1385	1514	hundred
кому	1392	616	who
звук	1477	1752	sound
нос	1750	1715	nose
офицер	1771	1388	officer
полковник	1854	1711	colonel
факт	1906	1598	fact
