word	rank_a	rank_b	english
без	109	99	without
дома	131	335	at home
боже	140	107	god
тато	150	381	dad
три	177	169	three
брат	190	269	brother
два	193	140	two
кого	240	206	who
бог	282	384	god
вода	309	686	water
сестра	340	525	sister
над	395	232	above, over
телефон	438	500	telephone
половина	453	1674	half
сила	513	951	force
напад	533	1762	attack, assault
агент	568	914	agent
книга	577	1154	book
мир	579	561	peace
ах	587	476	ah
том	588	223	tome, volume
група	621	1556	group
адвокат	651	985	lawyer
пиво	703	1185	beer
музика	770	1218	music
боб	790	767	bobsled
вино	814	1198	wine
наш	839	179	our, ours
око	946	1525	eye
меч	950	1492	sword
шоу	995	797	show
курва	997	467	whore, prostitute
клуб	1015	1317	club
мозок	1023	1443	brain
рано	1055	627	early
сигнал	1059	949	signal
закон	1097	1205	law
суд	1114	933	court
нога	1139	1887	leg
ваш	1190	191	your, yours
море	1204	1274	sea
код	1251	1309	code
поле	1279	1047	field
правило	1283	1415	rule
генерал	1302	1740	general
сто	1385	847	hundred
кому	1392	484	who
сонце	1398	1196	sun
звук	1477	1041	sound
ресторан	1494	1437	restaurant
принц	1498	1615	prince
професор	1625	1695	professor
факт	1906	1208	fact
