word	rank_a	rank_b	english
vi	10	10	we
ja	33	35	yes
ut	46	58	out
din	49	47	your, yours
oss	50	57	us
se	60	82	to see
få	70	80	few
sa	77	74	to say
bra	78	53	well
eller	85	63	or
ser	88	90	to see
gjorde	122	102	to do
dag	123	153	a day
ned	129	856	down
sett	130	200	to see
år	137	121	a year
gjort	146	144	to do
alltid	152	148	always
tre	163	171	three
tid	170	162	time
ingenting	171	271	nothing
livet	179	307	life
hennes	206	177	her
glad	263	398	happy, glad
liv	269	155	life
tiden	270	253	time
sagt	283	323	to say
fem	284	306	five
ny	296	366	new
huset	318	387	a house
gamle	322	1435	old
dagen	326	470	a day
natt	337	439	night
viktig	394	1251	important
ord	409	444	a word
all	419	459	all
sitter	433	422	to sit
mat	445	477	food
full	464	588	drunk
ses	466	303	to see
sent	478	562	late
tom	479	654	empty
hus	490	403	a house
resten	523	615	remainder, rest
fred	526	863	peace
blod	575	534	blood
sist	596	1027	last, lastly
unge	597	1163	young
fall	638	337	to fall
kaffe	652	710	coffee
gifte	673	1530	married
nummer	678	594	a number
ung	701	740	young
krig	718	764	war
historien	732	1200	history
kort	740	645	short
natten	745	574	night
sover	779	809	to sleep
tv	817	799	television
sju	844	658	seven
kroppen	857	843	a body
kontroll	868	1131	control
baby	877	1305	a baby
agent	897	753	an agent
nyheter	901	879	news
sov	935	975	to sleep
maten	942	1252	food
tredje	967	936	third
håret	982	1652	hair
respekt	996	1185	respect
pistolen	1009	1293	a pistol
gravid	1042	1211	pregnant
båten	1043	1221	a boat
ansvar	1046	1276	responsibility
fullt	1051	986	fully
faller	1053	1382	to fall
skogen	1065	1020	forest, wood
blå	1089	1299	blue
ordet	1137	1284	a word
brev	1175	1101	a letter
hår	1204	920	hair
pistol	1215	1113	a pistol
vin	1218	1278	wine
blodet	1219	1663	blood
slag	1228	1454	A hit; punch
skyldig	1278	655	guilty
professor	1284	1793	professor
sen	1290	100	late
året	1297	976	a year
hotellet	1321	1490	a hotel
team	1357	1197	a team
normalt	1375	1303	normally
fredag	1426	1953	Friday
mord	1428	755	murder
fienden	1476	1864	an enemy
svin	1484	1559	hog, pig, swine
banken	1490	1684	a bank
frihet	1507	1621	freedom, liberty
luft	1515	1679	air
ed	1520	1709	an oath
ringen	1526	1832	ring; a circular piece of material
kilometer	1530	1867	a kilometre
båt	1533	1356	a boat
tolv	1566	1319	twelve
låst	1569	1926	to lock
baren	1575	1770	a bar
fader	1591	969	father
suger	1608	1388	to suck
solen	1638	1255	sun
fiender	1691	1716	an enemy
offer	1756	1173	a sacrifice
kropp	1769	684	a body
tomt	1770	1980	empty
luften	1785	1314	air
hotell	1797	1544	a hotel
klubben	1914	1874	a club
energi	1946	1791	energy
fiende	1970	1887	an enemy
