word	rank_a	rank_b	english
و	5	158	and
دوست	49	161	friend
دو	69	51	two
وقت	71	63	time
سال	91	129	year
خدا	115	111	God
وجود	125	652	existence
شب	127	1168	night
اگر	129	66	if
خوش	145	154	happy
یا	154	68	or
خبر	170	370	news
طرف	178	82	side
حالت	190	864	state, condition
آب	194	1588	water
خون	195	273	blood
مشکل	214	339	difficult
انتخاب	221	783	election
جنگ	249	126	war
چیز	277	146	thing
خارج	317	516	outside
حساب	354	1721	account
انسان	364	202	human
لعنتی	388	1874	cursed, accursed
یعنی	412	797	means
پرواز	422	349	flight
نام	426	98	name
قانون	428	560	law
انتظار	456	115	wait, waiting
ثابت	499	271	constant
دنیا	534	117	world
بحث	550	1129	discussion
یاد	559	135	memory
مقدار	568	1297	amount, quantity
ممکن	569	414	possible
پاک	573	1505	clean, pure
مرکز	578	718	centre, center
رنگ	617	435	colour
گوشت	637	1093	meat
جوان	648	1058	young
صد	649	1071	hundred
دل	668	303	heart
خدمت	670	437	service
کاش	702	664	I wish, if only
مقدس	714	531	holy, sacred
خاموش	740	598	quiet
شکر	741	921	sugar
سن	743	279	age
شخص	749	185	person, individual
درخت	750	759	tree
عادت	762	1140	custom
افسر	770	795	officer
گردن	774	919	neck
مبارک	827	501	blessed
چاقو	840	1059	knife
خاص	852	287	special
زبان	861	312	tongue
پل	891	743	bridge
زخم	897	938	wound
کشتی	902	737	boat, ship
خطرناک	923	624	dangerous
حمل	927	1661	transport, carriage, bearing
مخصوص	933	1655	private, characteristic
سبز	943	635	green
اطلاع	961	1277	notice
اخبار	969	1090	news
رخ	992	1953	face, cheek
معروف	1008	1431	famous, renowned
عجیب	1071	345	strange
نرم	1079	770	soft
طوفان	1104	679	storm, tempest
خشک	1112	1218	dry
تن	1114	1564	body
گشت	1202	1700	patrol, watch
آواز	1208	521	voice
لب	1222	1406	lip
آسمان	1235	494	sky
سفید	1248	417	white
تاج	1249	1557	crown
جاسوس	1355	694	spy
حکومت	1356	302	government
کور	1438	703	blind
عذاب	1440	898	torture
بیان	1479	726	statement
امید	1516	239	hope
دیوار	1528	380	wall
میز	1529	1082	table
دیگر	1543	565	other
شرم	1546	733	shame
غلط	1549	228	wrong
منی	1558	1413	semen
قانونی	1583	533	legal
نمک	1584	1008	salt
اطاعت	1598	1087	obedience
خنجر	1643	366	dagger, khanjar
قبر	1649	1195	grave, tomb
صفر	1658	894	zero
حمایت	1697	1230	support, backing, aid, advocacy
خاندان	1773	231	family
موسیقی	1792	478	music
بحران	1901	1262	crisis
شیر	1956	1359	lion
محترم	1960	418	honored; honorable, respectable, esteemed
مسافر	1978	1315	traveller
بندی	1991	340	prisoner
ضرر	1995	1882	detriment, loss, disadvantage, deficiency
کیک	2000	1045	cake
