word	rank_a	rank_b	english
i	6	5	and
tu	28	100	here
oni	213	134	they
problem	293	246	problem
minut	362	826	minute
telefon	451	584	telephone
jedna	463	254	one
one	638	329	they; nonvirile third-person plural pronoun, used for all…
brat	657	477	brother
daleko	684	523	far
zna	739	186	to know
drugi	822	242	second
brata	823	658	brother
oboje	912	594	both
seks	1016	777	sex
osoba	1055	487	person
sekund	1150	1535	second
stara	1238	754	old
program	1336	1140	program
jaja	1417	927	egg
znak	1458	772	sign
grupa	1559	1173	group
stare	1585	1144	old
kontakt	1606	1305	contact
auto	1760	342	car, automobile
usta	1888	767	mouth
milion	1898	1253	million
auta	1915	1018	car, automobile
