word	rank_a	rank_b	english
я	1	1	I
не	2	2	not
но	20	31	but, yet
к	37	73	to, toward
для	38	28	for
вас	50	37	you
нас	52	36	we
вам	59	50	you
нам	66	52	we
там	68	43	there
думаю	86	72	first-person singular present indicative imperfective of…
раз	90	93	once, one day, once upon a time
тут	113	27	here
моя	118	81	my, mine
один	123	85	one
люди	173	126	people, humans
точно	178	146	exactly, precisely, accurately
твоя	180	127	your, yours, thy, thine
назад	183	160	back, backward, backwards
два	201	140	two
людей	208	130	genitive/accusative of лю́ди
люблю	211	178	first-person singular present indicative imperfective of…
дома	225	335	at home
прямо	232	198	straight
найти	235	347	to find
сам	244	150	self, -self
три	249	169	three
вами	262	186	you
про	268	35	about, concerning
ваш	269	191	your, yours
завтра	275	185	tomorrow
наш	280	179	our, ours
мою	288	211	my, mine
кого	289	206	who
ваша	310	189	your, yours
нами	316	195	we
ясно	330	245	clearly
над	335	232	above, over
руки	355	244	genitive singular of рука́
нормально	356	263	normally
ваше	368	361	your, yours
твою	377	254	your, yours, thy, thine
смерти	407	642	death
брат	410	269	brother
мир	413	561	peace
одного	420	188	genitive masculine/neuter singular
сама	436	273	self, -self
проблема	450	363	problem
одну	456	292	accusative feminine singular of оди́н
машину	464	317	accusative singular of маши́на
чувак	487	390	dude, guy, dawg
слова	498	323	genitive singular of сло́во
наша	501	312	our, ours
год	514	887	year
оба	541	746	both
алло	577	398	hello!
наших	580	386	our, ours
телефон	595	500	telephone
честь	597	497	honor
план	600	432	plan, scheme
правду	609	444	accusative singular of пра́вда
кому	616	484	who
сестра	617	525	sister
муж	667	817	husband
сами	675	1335	self, -self
руку	682	424	accusative singular of рука́
вашу	696	452	your, yours
мужчина	711	997	man
крови	722	765	blood
круто	732	508	steeply
вина	738	634	guilt, fault; blame
нашу	740	436	our, ours
шоу	745	797	show
проблем	753	496	genitive plural of пробле́ма
часто	769	574	frequently, often
наше	798	542	our, ours
образом	801	1332	instrumental singular of о́браз
людям	806	586	dative of лю́ди
легко	812	461	lightly
агент	824	914	agent
самого	827	606	self, -self
маленький	841	569	little, small
школу	842	691	accusative singular of шко́ла
ваших	863	600	your, yours
абсолютно	886	562	absolutely
ноги	895	514	genitive singular of нога́
президент	920	1008	president
десять	925	599	ten
рано	946	627	early
брата	959	504	brother
одним	983	602	dative plural
голос	994	681	voice
вашим	1027	948	your, yours
список	1033	931	list, register, roll
дядя	1058	1211	uncle
сон	1066	663	sleep
фото	1081	730	photo, photograph
нашим	1101	827	our, ours
слава	1128	747	glory
команда	1132	813	command, order
суд	1142	933	court
неправильно	1166	858	incorrectly, wrongly
ключ	1169	828	key
рот	1178	1126	mouth
землю	1182	594	accusative singular of земля́
король	1210	506	king
народ	1211	702	people
секс	1214	880	sex
сержант	1296	1519	sergeant
книгу	1329	917	accusative singular of кни́га
лейтенант	1344	1836	lieutenant
сезон	1348	966	season
голова	1350	700	head
магазин	1361	1053	shop, store
маму	1373	742	accusative singular of ма́ма
сюрприз	1391	1030	surprise
дорогу	1394	873	accusative singular of доро́га
вода	1397	686	water
книги	1403	1108	genitive singular
воду	1454	719	accusative singular of вода́
сил	1465	1089	genitive plural of си́ла
роль	1478	1095	role, part
вверх	1486	1706	upwards
закон	1489	1205	law
одному	1503	675	dative masculine/neuter singular of оди́н
сто	1514	847	hundred
сигнал	1528	949	signal
секрет	1538	1433	secret
рук	1556	1067	genitive plural of рука́
квартиру	1560	1058	accusative singular of кварти́ра
ублюдок	1570	1662	bastard
факт	1598	1208	fact
учитель	1601	1867	teacher, instructor
запах	1612	1116	smell, odor, scent
костюм	1622	1193	suit
море	1628	1274	sea
генерал	1635	1740	general
силу	1646	993	accusative singular of си́ла
жертва	1647	1442	victim
собака	1668	1362	dog
доступ	1682	1304	access, admittance, admission
туалет	1684	1262	toilet, WC, restroom, lavatory
красиво	1693	1779	beautifully
книга	1709	1154	book
рука	1722	1060	hand
система	1731	1282	system
чай	1742	1061	tea
звук	1752	1041	sound
пиво	1766	1185	beer
команду	1771	1456	accusative singular of кома́нда
солдат	1774	1376	soldier
короля	1776	673	genitive/accusative singular of коро́ль
земля	1810	895	earth
президента	1834	1508	genitive/accusative singular of президе́нт
тест	1853	1572	test
код	1856	1309	code
холодно	1943	1133	coldly
руками	1944	1268	instrumental plural of рука́
урок	1969	1285	lesson
люк	1974	1481	hatch, hatchway
роман	1996	1594	novel
