word	rank_a	rank_b	english
ne	3	2	not
mi	11	16	we
kako	30	30	how
on	48	92	he
biti	53	84	to be, to exist
hvala	58	50	praise
vam	69	72	you
ona	86	135	she
vi	97	109	you
koliko	111	139	how much, how many
ono	127	1524	it
oni	134	246	they
dan	154	94	day
dva	177	136	two
stvar	179	162	thing
evo	183	847	look, see, behold
tri	194	149	three
ime	198	116	name
svoj	208	205	one's own
prvi	234	200	first
drugi	242	187	second
naš	282	228	our, ours
vaš	288	192	your, yours
minuta	307	1426	minute
sto	311	461	hundred
dve	321	160	two
njegov	336	207	his
pet	359	216	five
bar	371	666	at least
tip	375	223	type
prijatelj	377	178	friend
sin	387	199	son
jutro	402	236	morning
dobiti	417	333	to receive, get, obtain, acquire
znati	447	1595	to know
videti	453	113	to see
oči	457	179	eye
brat	477	225	brother
dati	505	346	to give
smrt	508	251	death
policija	514	280	police
ostati	527	311	to stay, remain
oprostite	530	142	sorry!
njen	543	267	her, hers
šest	545	292	six
telo	566	366	body
dajte	575	266	to give
sestra	587	270	sister
ha	590	489	expresses laughter
deset	602	308	ten
reči	604	174	to say
isti	614	390	same
tih	655	1476	quiet, silent
odgovor	667	367	answer
oče	690	102	father
kralj	751	330	king
glas	756	379	voice
usta	767	462	mouth
soba	773	437	room
seks	777	440	sex
čast	799	435	honour
prevod	806	409	translation
slika	808	529	picture, image
kapetan	822	854	captain
umreti	833	369	to die
pivo	836	417	beer
ključ	844	400	key
voda	846	445	water
sistem	848	374	system
zadnji	850	297	back, rear, hind
njihov	865	480	their, theirs
glava	886	553	head
nad	896	240	over, above
čuti	906	928	to hear
knjiga	924	543	book
korak	931	466	step
nedelja	953	1501	Sunday
pokazati	980	537	to show, demonstrate
sir	982	509	cheese
mir	991	416	peace
čaj	1026	514	tea
jezik	1027	481	tongue
hrana	1048	504	food
zabava	1057	402	fun, amusement
devet	1072	519	nine
poslati	1076	711	to send
vlada	1077	510	government
nos	1085	521	nose
nož	1142	507	knife
ples	1145	449	dance
dama	1147	602	lady
zlato	1148	541	gold
tišina	1154	636	silence
misliti	1160	565	to think
zid	1171	689	wall
igrati	1172	423	to play
let	1181	118	flight
vino	1206	584	wine
ulice	1208	618	street
meso	1233	599	meat
taksi	1260	632	taxi
riba	1292	867	fish
kraljica	1304	499	queen
govor	1333	631	speech
kamen	1346	598	stone
zločin	1348	609	crime
bivši	1350	660	former
ček	1362	829	cheque
sredi	1364	414	Wednesday
vojska	1380	545	army
general	1406	413	general
vrat	1452	359	neck
razlika	1459	704	difference
dar	1460	823	gift
borba	1463	1399	fight
član	1469	658	member
profesor	1490	493	professor
boriti	1494	610	to fight, struggle
duša	1496	741	soul
država	1508	639	country
nebo	1537	675	sky
mlad	1543	673	young
ptica	1549	1144	bird
konj	1550	687	horse
bomba	1581	653	bomb
rezultat	1591	842	result
prst	1627	747	finger
večer	1628	274	evening
nov	1638	340	new
ulica	1647	859	street
led	1656	734	ice
most	1668	679	bridge
želja	1682	746	wish, desire
papir	1709	792	paper
sladoled	1741	783	ice cream
princ	1748	652	prince
velik	1768	281	big, large
sok	1785	821	juice
polje	1788	813	field
pete	1802	582	heel
če	1842	21	if
mačka	1846	657	cat
bogat	1865	797	rich, wealthy
cena	1870	759	price
mleko	1889	761	milk
trener	1890	630	coach
razumeti	1905	483	to understand
seme	1934	1353	seed
piti	1941	724	to drink
teorija	1960	916	theory
dnevnik	1961	775	diary
noga	1993	863	leg
požar	1995	876	fire
