word	rank_a	rank_b	english
na	7	11	on
o	15	35	about, concerning
nič	47	64	nothing
čas	104	101	time
domov	149	140	home, homewards
večer	184	274	evening
dva	205	136	two
tri	206	149	three
svoj	207	205	one's own
dve	228	160	two
vami	247	257	you
doma	250	185	home, at home
zlato	284	541	gold
brat	321	225	brother
oči	332	179	eye
telo	335	366	body
smrti	362	259	death
sestra	366	270	sister
cesta	445	1028	road
krvi	523	315	blood
pes	563	362	dog
pivo	580	417	beer
voda	602	445	water
sedem	609	375	seven
vojna	610	450	war
konca	617	313	end
osem	647	420	eight
ulici	659	425	street
čaj	701	514	tea
dar	719	823	gift
teta	741	572	aunt
zima	753	1477	winter
vojak	764	517	soldier
nos	797	521	nose
okno	817	456	window
tlak	824	1186	pressure
vlak	833	534	train
stroj	837	606	machine
oko	838	575	eye
bomba	870	653	bomb
sto	876	461	hundred
meč	901	596	sword
ulice	922	618	street
princ	968	652	prince
cena	978	759	price
polovica	998	819	half
duša	1036	741	soul
alkohol	1066	978	alcohol
zlo	1076	750	evil
mačka	1139	657	cat
bratranec	1142	837	cousin
most	1203	679	bridge
prst	1209	747	finger
krava	1231	1104	cow
nebo	1238	675	sky
služba	1279	492	service
starec	1318	844	old man
pero	1319	1407	feather
penis	1358	1054	penis
drevo	1375	659	tree
smer	1411	427	direction
študent	1436	1142	student
banka	1467	980	bank
opica	1521	930	monkey
tiger	1559	999	tiger
ulica	1568	859	street
zločinec	1587	1334	criminal
koža	1620	1021	skin
maslo	1807	1059	butter
diamant	1901	1227	diamond
jedli	1910	855	to eat
jem	1912	822	to eat
lev	1959	1250	lion
koncu	1971	305	end
kladivo	1992	1287	hammer
