rank	word	english	ipa
1	که	that; subordinates a clause to a main clause	[kʰʲe]
2	رو	Tehrani form of را	[ɹow]
3	من	I	[mæn]
4	به	Expresses the indirect object: to; for	[be]
5	و	and	/vɑːv/
6	تو	you, thou	[t̪ʰo]
7	از	of, from	[ʔæz]
8	اون	that	[ʔon]
9	با	with	[bɒː]
10	در	at, in, inside, within	[d̪æɹ]
11	نه	not	[næ]
12	ما	we, us; the first-person plural pronoun	[mɒː]
13	هم	also, too; either, neither	[hæm]
14	بود	to exist	[buːd̪̥]
15	کنم	to do	[kʰó.næm]
16	باشه	sparrowhawk	[bɒː.ʃe]
17	تا	until; as far as; up to	[t̪ʰɒː]
18	ها	yeah, yes	[hɒː]
19	فکر	thought	[fekʰʲɹ]
20	آره	yeah	[ʔɒː.ɹé]
21	یه	one	[je]
22	این	this; the	[ʔiːn]
23	خب	so	
24	فقط	only	[fæ.ʁæt̪ʰ]
25	کن	to do	[kʰon]
26	می	wine	[mej]
27	شما	you guys; you	[ʃo.mɒ́ː]
28	همه	all	[hæ.mé]
29	اگه	if	[ʔä.ɡä]
30	دارم	to have; to possess, to own	[d̪ɒ́ː.ɹæm]
31	کار	to kill, to murder	[kʰɒːɹ]
32	چه	what?	[t͡ʃʰe]
33	پس	then; so; therefore	[pʰæs]
34	اما	but	[ʔǽm.mɒː]
35	چرا	why	[t͡ʃʰé.ɹɒː]
36	خوب	well	[xuːb̥]
37	کنه	to do	[kʰʲæ.né]
38	کردم	to do	[kʰʲǽɹ.d̪æm]
39	حالا	now, presently	[hɒː.lɒː]
40	الان	unhamzated form of الآن	[ʔä.lɑːn]
41	هر	each	[hæɹ]
42	شد	to become; a light verb used in a large number of…	[ʃód̪̥]
43	اوه	oh; an exclamation of surprise	[ʔuːʱ]
44	منو	Tehrani form of مرا	[me.nuː]
45	بهت	consternation, stupefaction	[boɦt̪ʰ]
46	بچه	child, kid	[bæ.t͡ʃʰe]
47	هست	there is, there are	[hæst̪ʰ]
48	مثل	like	[mesl̥]
49	دوست	friend	[d̪uːst̪ʰ]
50	دست	hand	[d̪æst̪ʰ]
51	باید	Expresses an obligation or confident conjecture, equivalent…	[bɒ́ː.jæd̪̥]
52	خیلی	very	[xéj.liː]
53	کرد	to do	[kʰoɹd̪̥]
54	حرف	letter	[hæɹf]
55	چی	what?	[t͡ʃʰiː]
56	خونه	house	/xoːˈnæ/
57	واسه	for, by reason of, for the sake of	[vɒː.se]
58	بله	Iranian standard form of بلی	[bǽ.le]
59	کرده	to do	[kʰʲæɹ.d̪é]
60	سلام	hello, hi	[sæ.lɒ́ːm]
61	کردن	to do	[kʰʲæɹ.d̪ǽn]
62	برای	for	[bæ.ɹɒ́ː.je]
63	چون	because, since	[t͡ʃʰon]
64	را	Follows certain nouns being used adverbially, or as an…	[ɹɒː]
65	بعد	then, after; afterwards	[bæʔd̪̥]
66	انجام	end, conclusion	[ʔæn.d͡ʒɒːm]
67	درست	correct, right	[d̪o.ɹost̪ʰ]
68	هستم	to exist	[hǽs.t̪ʰæm]
69	دو	two	[d̪o]
70	داشته	to have; to possess, to own	
71	وقت	time	[væxt̪ʰ]
72	است	to exist	[ʔæst̪ʰ]
73	دیگه	other	
74	هنوز	still, yet	[hæ.nuːz]
75	سر	on top, on	[sæɹ]
76	نیست	there is, there are	[niːst̪ʰ]
77	روز	day	[ɹuːz]
78	کجا	where	[kʰo.d͡ʒɒ́ː]
79	مورد	case; instance	[mow.ɹéd̪̥]
80	اینجا	here	[ʔiːn.d͡ʒɒː]
81	ولی	but	[vǽ.liː]
82	ممنون	grateful, thankful	[mæm.núːn]
83	واقعا	really; actually	[vɒː.ʁe.ʔǽn]
84	تمام	complete	[t̪ʰæ.mɒ́ːm]
85	راه	road	[ɹɒːʱ]
86	باش	to exist	[bɒːʃ]
87	تنها	alone	[t̪ʰæn.hɒ́ː]
88	مرد	to die	[mæɹd̪̥]
89	چند	how many, how much	[t͡ʃʰæn̪d̪̥]
90	نظر	seeing, vision	[næ.zæɹ]
91	سال	year	[sɒːl̥]
92	کمک	help, aid, assistance	[kʰo.mǽkʰʲ]
93	کنی	to do	[kʰó.niː]
94	دوباره	again	[d̪o.bɒː.ɹé]
95	چیزی	something	[t͡ʃʰiː.ziː]
96	گفتم	to say	
97	چطور	how	[t͡ʃʰe.t̪ʰowɹ]
98	نگاه	look, glance	[ne.ɡɒːʱ]
99	گفت	to say	[ɡ̥oft̪ʰ]
100	گوش	ear	[ɡ̥uːʃ]
101	صحبت	talk, speech	[soɦ.bǽt̪ʰ]
102	پسر	son	[pʰe.sæɹ]
103	قبل	before, prior to	[qæbl̥]
104	آدم	human	[ʔɒː.d̪ǽm]
105	برم	memory	
106	شروع	beginning, commencement, onset, opening	[ʃo.ɹuːʔ]
107	هستن	to be	[hæs.t̪ʰæn]
108	ای	that is to say	[ʔej]
109	بر	on	[bæɹ]
110	خانم	Mrs, Ms	[xɒː.nóm]
111	قرار	agreement to meet	[qæ.ɹɒ́ːɹ]
112	حال	condition; state	[hɒːl̥]
113	پول	money	[pʰuːl̥]
114	داشتم	to have; to possess, to own	
115	خدا	God	[xo.d̪ɒ́ː]
116	نفر	soldier	[næ.fǽɹ]
117	بار	burden, load, charge	[bɒːɹ]
118	صبر	patience, tolerating, endurance	[sæbɹ]
119	درباره	about, concerning, regarding	[d̪æɹ bɒː.ɹé.je]
