rank	word	english	ipa
1	nie	negation particle; no, not	/ˈɲɛ/
2	to	this, it	/ˈtɔ/
3	się	oneself, self	/ɕɛ/
4	w	in, at	/v/
5	na	on	/ˈna/
6	i	and	
7	że	that	/ˈʐɛ/
8	z	with; from	/z/
9	co	interrogative pronoun; what	/ˈt͡sɔ/
10	jest	to be	/ˈjɛst/
11	do	denotes allative movement; to, toward	/ˈdɔ/
12	tak	like this; so	/ˈtak/
13	o	about	/ˈɔ/
14	jak	how	/ˈjak/
15	ale	but	/ˈa.lɛ/
16	a	and, but, whereas	/ˈa/
17	mnie	first-person pronoun; I	/ˈmɲɛ/
18	mi	first-person pronoun; I	/ˈmi/
19	za	overly, excessively, too	/ˈza/
20	ja	first-person pronoun; I	/ˈja/
21	tym	this	/ˈtɘm/
22	tego	this	/ˈtɛ.ɡɔ/
23	go	he, it	/ˈɡɔ/
24	ci	you	/ˈt͡ɕi/
25	po	after	/ˈpɔ/
26	tylko	except, only, just	/ˈtɘl.kɔ/
27	czy	interrogative particle: introduces a yes-no question, often…	/ˈt͡ʂɘ/
28	tu	here	/ˈtu/
29	może	maybe, perhaps	/ˈmɔ.ʐɛ/
30	jestem	to be	/ˈjɛs.tɛm/
31	ma	to have	/ˈma/
32	ty	you	/ˈtɘ/
33	cię	you	/t͡ɕɛ/
34	mam	to have	/ˈmam/
35	jesteś	to be	/ˈjɛs.tɛɕ/
36	już	already; almost	/ˈjuʂ/
37	jeśli	introduces a real conditional clause; if	/ˈjɛ.ɕli/
38	dla	for	/ˈdla/
39	wiem	to know	/ˈvjɛm/
40	coś	something	/ˈt͡sɔɕ/
41	dobrze	well	/ˈdɔ.bʐɛ/
42	więc	so, therefore, ergo	/ˈvjɛnt͡s/
43	od	indicates separation, distance, loss of contact; from, away	/ˈɔt/
44	teraz	now	/ˈtɛ.ras/
45	pan	you polite second person m-personal nominative, it takes…	/ˈpan/
46	wszystko	everything	/ˈfʂɘst.kɔ/
47	być	to be	/ˈbɘt͡ɕ/
48	będzie	to be	/ˈbɛɲ.d͡ʑɛ/
49	masz	to have	/ˈmaʂ/
50	nic	nothing	/ˈɲit͡s/
51	tam	there	/ˈtam/
52	mogę	to be able; can; may, might expressing lack of something…	/ˈmɔ.ɡɛ/
53	proszę	to ask for, to request	/ˈprɔ.ʂɛ/
54	jej	her: possessive pronoun of ona	/ˈjɛj/
55	są	to be	/ˈsɔw̃/
56	gdzie	where	/ˈɡd͡ʑɛ/
57	kiedy	introduces either a dependent or interrogative clause in…	/ˈkjɛ.dɘ/
58	ten	this	/ˈtɛn/
59	on	he, it	/ˈɔn/
60	ciebie	you	/ˈt͡ɕɛ.bjɛ/
61	by	synonym of przynajmniej	/ˈbɘ/
62	sobie	oneself, myself, yourself, itself, etc	/ˈsɔ.bjɛ/
63	ze	alternative form of z	/ˈzɛ/
64	był	to be	/ˈbɘw/
65	wiesz	to know	/ˈvjɛʂ/
66	bardzo	very	/ˈbar.d͡zɔ/
67	było	it was	/ˈbɘ.wɔ/
68	przez	across	/ˈpʂɛs/
69	jego	his: possessive pronoun of on	/ˈjɛ.ɡɔ/
70	ją	she, it	/ˈjɔw̃/
71	chcę	to want	/xt͡sɛ/
72	dlaczego	why	/dlaˈt͡ʂɛ.ɡɔ/
73	pani	Lord, Sir	/ˈpa.ɲi/
74	jeszcze	yet	/ˈjɛʂ.t͡ʂɛ/
75	mój	first person possessive pronoun; my, mine	/ˈmuj/
76	nas	we; first person plural	/ˈnas/
77	żeby	creates a subordinate clause expressing desire or wish; to,…	/ˈʐɛ.bɘ/
78	no	expresses uncertainty; well	/ˈnɔ/
79	bo	because, for	/ˈbɔ/
80	chcesz	to want	/ˈxt͡sɛʂ/
81	ich	possessive pronoun for oni or one, namely their or theirs	/ˈix/
82	też	also, too	/ˈtɛʂ/
83	tutaj	here	/ˈtu.taj/
84	naprawdę	really, truly, actually	/naˈprav.dɛ/
85	nigdy	never	/ˈɲi.ɡdɘ/
86	mamy	to have	/ˈma.mɘ/
87	kto	who	/ˈktɔ/
88	możesz	to be able; can; may, might expressing lack of something…	/ˈmɔ.ʐɛʂ/
89	dobra	good	/ˈdɔ.bra/
90	przepraszam	sorry; I'm sorry, excuse me	/pʂɛˈpra.ʂam/
91	mu	he, it	/ˈmu/
92	gdy	when, as	/ˈɡdɘ/
93	muszę	to have to, to need to, must	/ˈmu.ʂɛ/
94	porządku	order	/pɔˈʐɔnt.ku/
95	dziękuję	thank you	/d͡ʑɛŋˈku.jɛ/
96	nawet	even	/ˈna.vɛt/
97	chyba	expresses confidence but not certainty; probably; I think,…	/ˈxɘ.ba/
98	domu	house	/ˈdɔ.mu/
99	ona	she, it	/ˈɔ.na/
100	prawda	used as a question tag asking for agreement; right?	/ˈprav.da/
101	zrobić	to make	/ˈzrɔ.bit͡ɕ/
102	była	former, previous	/ˈbɘ.wa/
103	właśnie	actually	/ˈvwaɕ.ɲɛ/
104	będę	to be	/ˈbɛn.dɛ/
105	zawsze	always	/ˈzaf.ʂɛ/
106	hej	hey	/ˈxɛj/
107	nim	before	/ˈɲim/
108	nam	we; first person plural	/ˈnam/
109	te	this	/ˈtɛ/
110	moja	synonym of mąż	/ˈmɔ.ja/
111	musisz	to have to, to need to, must	/ˈmu.ɕiʂ/
112	je	to be	/ˈjɛ/
113	dzięki	thanks to	/ˈd͡ʑɛŋ.ki/
114	bez	without, lacking	/ˈbɛs/
115	tej	and	/ˈtɛj/
116	trochę	kinda; slightly, somewhat	/ˈtrɔ.xɛ/
117	ktoś	indeterminate personal pronoun; someone, somebody	/ˈktɔɕ/
118	panie	nominative/accusative/vocative plural of pani	/ˈpa.ɲɛ/
119	jesteśmy	to be	/jɛsˈtɛɕ.mɘ/
