rank	word	english	ipa
1	de	if	/de/
2	nu	no	/nu/
3	să	Subordinative conjunction: to	/sə/
4	o	her	/o/
5	în	in, into, within	/ɨn/
6	ce	what	/t͡ʃe/
7	e	to be	/je/
8	că	that	/kə/
9	la	at, in	/la/
10	a	the infinitive marker: to	/a/
11	cu	with	/ku/
12	pe	on	/pe/
13	am	to have	/am/
14	un	a, an	/un/
15	mai	more	/ˈmaj/
16	asta	this	[ˈas.ta]
17	pentru	for	/ˈpen.tru/
18	este	to be	/ˈjes.te/
19	sunt	to be	/sunt/
20	ai	of	/aj/
21	te	you	/te/
22	bine	well	/ˈbi.ne/
23	da	apocopic form of dar	/ˈda/
24	ca	than	/ka/
25	dar	but	/dar/
26	se	oneself, himself, herself, itself, themselves	/se/
27	din	on, on top of	/din/
28	fost	to be	/ˈfost/
29	care	which	/ˈka.re/
30	fi	to be	/fi/
31	mă	me	/mə/
32	eu	I	/jew/
33	aici	here	/aˈit͡ʃʲ/
34	sa	his/hers	/sa/
35	dacă	if	/ˈda.kə/
36	trebuie	to be necessary, to need to, to have to	[ˈtre.bu.je]
37	va	will	[va]
38	cum	how	/ˈkum/
39	si	si	/si/
40	tu	you, thou	/tu/
41	acum	now; right now; at present	/aˈkum/
42	el	he	/jel/
43	ar	would	/ar/
44	lui	his	/luj/
45	ceva	something	[t͡ʃeˈva]
46	când	when	/ˈkɨnd/
47	doar	just, only, merely	/do̯ar/
48	ei	they	/ˈjej/
49	ne	us	/ne/
50	mine	me	/ˈmi.ne/
51	tine	you	/ˈti.ne/
52	poate	maybe, possibly	/ˈpo̯ate/
53	pot	to be able to; can, could, may	[pot]
54	voi	you	[voj]
55	face	to do, act	/ˈfat͡ʃe/
56	cred	to believe	/ˈkred/
57	îmi	me	/ɨmʲ/
58	au	well?, really?	/aw/
59	mea	mine	[me̯a]
60	spus	to say	/spus/
61	unde	where	[ˈun.de]
62	vă	you	/və/
63	meu	my	/mew/
64	ea	she	/ja/
65	mult	much	/mult/
66	vreau	to want	/ˈvre̯aw/
67	s-a	contraction of se and a	/sa/
68	despre	about	[ˈde.spre]
69	vrei	to want	[vrej]
70	sau	or	/saw/
71	tot	still	/tot/
72	foarte	very	/ˈfo̯ar.te/
73	pare	to look	/ˈpa.re/
74	acolo	there	/aˈko.lo/
75	chiar	even	/kjar/
76	in	flax	/in/
77	noi	we	/noj/
78	bună	good	[ˈbunə]
79	ta	yours	/ta/
80	era	to be	[jeˈra]
81	nimic	synonym of deloc	/niˈmik/
82	faci	to do, act	[fat͡ʃʲ]
83	are	to have	/ˈa.re/
84	făcut	to do, act	[fəˈkut]
85	cine	who	/ˈt͡ʃi.ne/
86	nici	not even	[nitʃʲ]
87	putea	to be able to; can, could, may	/puˈte̯a/
88	fac	to do, act	/ˈfak/
89	fie	to be	/ˈfi.e/
90	nevoie	need, necessity	/neˈvo.je/
91	trebui	to be necessary, to need to, to have to	/tre.bu.ˈi/
92	rău	badly, poorly	/rəw/
93	atunci	then, next	/aˈtunt͡ʃʲ/
94	timp	time	/ˈtimp/
95	tău	your	/təw/
96	spun	to say	/spun/
97	și	and	/ʃi/
98	rog	to ask politely, to say please	[roɡ]
99	acest	this	/aˈt͡ʃest/
100	nu-i	contraction of nu + e, literally “is not”: isn't	/ˈnuj/
101	spune	to say	/ˈspu.ne/
102	avem	to have	[aˈvem]
103	al	of	/al/
104	le	to them	/le/
105	după	behind	/ˈdupə/
106	vom	will	[vom]
107	deci	so, therefore	[det͡ʃʲ]
108	îl	him	/ɨl/
109	prea	too	/ˈpre̯a/
110	să-l	contraction of să + îl	/səl/
111	cineva	someone, somebody	/t͡ʃi.neˈva/
112	oh	alternative form of of	/ˈoh/
113	toate	all, the whole	/ˈto̯a.te/
114	ani	year	[anʲ]
115	cel	that	[tʃel]
116	suntem	to be	[ˈsun.tem]
117	vei	will	[vej]
118	bun	good	/bun/
119	sigur	certainly, definitely, without a doubt	/ˈsi.ɡur/
120	vor	to want	/vor/
121	vrea	to want	/ˈvre̯a/
122	mare	big, large, great	/ˈma.re/
123	îi	to him	[ɨj]
124	iar	again	/jar/
125	până	Optionally preceding și for emphasis or clarification	/ˈpɨ.nə/
126	cât	how much	/kɨt/
127	haide	come on, c'mon	/ˈhaj.de/
128	crezi	to believe	[krezʲ]
129	încă	still, yet	/ˈɨnkə/
130	hei	hey	/hej/
131	stai	to stay	/staj/
132	atât	so, so much	/a.ˈtɨt/
133	totul	a totality, whole	/ˈto.tul/
134	avea	to have	/aˈve̯a/
135	venit	to come	/ve.ˈnit/
136	spui	to say	[spuj]
137	ăsta	this	[ˈəs.ta]
138	avut	to have	/aˈvut/
139	m-am	contraction of mă + am	/mam/
140	lucru	thing; object	[ˈlukru]
141	văzut	to see	[vəˈzut]
142	fel	sort, type, kind	/ˈfel/
143	să-i	contraction of să + îi	/səj/
144	putem	to be able to; can, could, may	[puˈtem]
145	ceea	that	/ˈt͡ʃe.e̯a/
146	n-am	contraction of nu + am	/nam/
147	să-mi	contraction of să + îmi	/səmʲ/
148	fără	without	[ˈfə.rə]
149	ma	obsolete form of mai	/ˈma/
150	mama	mum, mom, mother	/ˈmama/
151	place	to please	[ˈplat͡ʃe]
152	decât	than	/deˈkɨt/
153	domnule	mister, Mr., sir, polite term for a man	/ˈdom.nu.le/
154	niciodată	never	[ni.t͡ʃoˈda.tə]
155	regulă	rule	/ˈre.ɡu.lə/
156	mi-a	contraction of îmi + a	/mja/
157	prin	through; by, by means of	/prin/
158	s-o	contraction of să + o	/so/
159	înainte	before	/ɨ.naˈin.te/
160	văd	to see	[vəd]
161	mergem	to walk	[ˈmerd͡ʒem]
162	unul	one	[ˈu.nul]
163	uite	to forget	[ˈuj.te]
164	hai	let's	[haj]
165	loc	place, location	/lok/
166	nimeni	no one, nobody	[ˈnimenʲ]
167	toată	all, the whole	/ˈto̯a.tə/
168	apoi	subsequently, afterwards, next, then	/aˈpoj/
169	vezi	to see	/ˈvezʲ/
170	dat	given	/ˈdat/
171	întâmplat	to happen, occur	/ɨn.tɨm.ˈplat/
172	fii	son	[fiː]
173	l-am	contraction of îl and am	[lam]
174	naiba	devil, deuce	/naj.ba/
175	nou	new	/now/
176	oameni	human	/ˈo̯a.menʲ/
177	ia	to take	/ja/
178	facem	to do, act	[ˈfat͡ʃem]
179	zi	to say, tell	/ˈzi/
180	acasă	at home	/aˈkasə/
181	multe	much	/ˈmul.te/
182	jos	down	/ʒos/
183	lumea	world	/ˈlume̯a/
184	două	two	/ˈdo.wə/
185	daca	Dacian	[ˈdaka]
186	timpul	time	[ˈtim.pul]
187	această	this	/aˈt͡ʃastə/
188	orice	any	/orʲ.ˈt͡ʃe/
189	oamenii	human	/ˈɔameˌniɪ/
190	auzit	to hear	[a.uˈzit]
191	doi	two	/doj/
192	luat	to take	/lwat/
193	fiecare	every, each	/fi.eˈka.re/
194	peste	over	/ˈpes.te/
195	vrut	to want	/ˈvrut/
196	înapoi	back	/ɨ.naˈpoj/
197	într-o	contraction of în + o: in a; into a	/ɨn.tro/
198	astea	this	/ˈas.te̯a/
199	aia	that	/ˈa.ja/
200	fiu	to be	[fiw]
201	dintre	among	[ˈdin.tre]
202	merge	to walk	/ˈmer.d͡ʒe/
203	lor	their	/lor/
204	trei	three	/ˈtrej/
205	numele	name	[ˈnumele]
206	om	human	/ˈom/
207	cea	that	/t͡ʃe̯a/
208	găsit	to find	/ɡəˈsit/
209	cei	that	/t͡ʃej/
210	doamne	mister, Mr., sir, polite term for a man	/ˈdo̯am.ne/
211	mele	mine	/ˈme.le/
212	te-ai	contraction of te + ai	/te̯aj/
213	i	and	/ˈi/
214	aceasta	this	/aˈt͡ʃe̯as.ta/
215	du-te	contraction of du + te	/ˈdu.te/
216	deja	already, yet	[deˈʒa]
217	ziua	during the daytime	/ˈziwa/
218	duc	to carry, lead, take	/ˈduk/
219	dată	given	/ˈda.tə/
220	parte	part	/ˈpar.te/
221	i-am	îi as dative of el or ea	[jam]
222	vino	to come	[ˈvino]
223	destul	enough, plenty, sufficient	/desˈtul/
224	câteva	some, a little, a few	/ˌkɨteˈva/
225	serios	serious, earnest	/ˌse.riˈos/
226	gata	readily, willingly	/ˈɡa.ta/
227	bani	money; coin	/banʲ/
228	vorbesc	to speak	[vorˈbesk]
229	tatăl	father	[ˈta.təl]
230	aproape	near, close, nearby	[a.ˈpro̯a.pe]
231	vedem	to see	[veˈdem]
232	afară	outside	/aˈfa.rə/
233	dau	to give	/ˈdaw/
234	numai	only	/ˈnu.maj/
235	nostru	our	/ˈnos.tru/
236	adevărat	true	/a.de.vəˈrat/
237	noastră	our	/ˈno̯as.trə/
238	într-un	contraction of în + un: in a; into a	/ɨn.trun/
239	una	one	/ˈuna/
240	vin	to come	[vin]
241	m-a	contraction of mă + a	/ma/
242	eram	to be	/jeˈram/
243	locul	place, location	/ˈlokul/
244	scuze	sorry	/ˈskuze/
245	acesta	this	/aˈt͡ʃes.ta/
246	vine	to come	/ˈvi.ne/
247	repede	fast, quickly, rapidly	/ˈre.pe.de/
248	zis	to say, tell	/ˈzis/
249	fapt	fact	[fapt]
250	ori	or	/orʲ/
251	te-am	contraction of te + am	/te̯am/
252	n-o	contraction of nu + o	/no/
253	putut	past participle of putea able to	/puˈtut/
254	grijă	worry	/ˈɡri.ʒə/
255	tale	yours	[ˈta.le]
256	lucruri	thing; object	/ˈlu.krurʲ/
257	singur	single, only, sole	/ˈsin.ɡur/
258	prima	to prevail, to take precedent	/priˈma/
259	casa	house, dwelling	/ˈkasa/
260	probabil	likely, probable	/proˈba.bil/
261	ajuns	to overtake, to catch up	[aˈʒuns]
262	cam	approximately, a little	/ˈkam/
263	exact	exactly, precisely	/eɡˈzakt/
264	l-a	contraction of îl and a	[ la ]
265	dreptate	righteousness, fairness, justice	/drepˈta.te/
266	simt	to feel	/simt/
267	tocmai	just, precisely, exactly	/ˈtok.maj/
268	noapte	night	/ˈno̯ap.te/
269	cele	that	/ˈt͡ʃe.le/
270	târziu	late	/tɨrˈziw/
271	trecut	to pass through	/treˈkut/
272	zile	day	[ˈzile]
273	facă	to do, act	[ˈfakə]
274	mereu	always, ever, continuously, constantly	/meˈɾeʊ/
275	adică	videlicet, viz., that is to say, in other words	/aˈdikə/
276	partea	part	/ˈpartea/
277	seara	in the evening	/ˈse̯ara/
278	lucrurile	thing; object	[ˈlukrurile]
279	iau	to take	[jaw]
280	unui	of a	/ˈu.nuj/
281	împreună	together	/ɨm.preˈu.nə/
282	plecat	to leave, depart	/pleˈkat/
283	crezut	to believe	[creˈzut]
284	omule	human	/oˈmule/
285	fata	girl	[ˈfata]
286	imediat	immediately	/i.me.diˈat/
287	ne-am	contraction of ne + am	/ne̯am/
288	spre	to, towards	/spre/
289	azi	today	/ˈazʲ/
290	departe	far	/deˈpar.te/
291	aceste	this	[aˈt͡ʃeste]
292	terminat	finished	/ter.miˈnat/
293	început	to begin, to commence	/ɨn.t͡ʃeˈput/
294	trebuia	to be necessary, to need to, to have to	[ˈtre.bu.ja]
295	iubesc	to love	[juˈbesk]
296	m-ai	contraction of mă + ai	/maj/
297	măcar	even	/məˈkar/
298	pierdut	to lose	/pjerˈdut/
299	sub	under, below, beneath, underneath	/sub/
300	copii	child	/koˈpiʲ/
301	frumos	beautifully, nicely	/fruˈmos/
302	banii	money; coin	/ˈbaniɪ/
303	mâine	tomorrow	/ˈmɨj.ne̞/
304	n-ai	contraction of nu + ai	/naj/
305	mi-am	contraction of îmi + am	/mjam/
306	mamă	mum, mom, mother	/ˈma.mə/
307	mi	mi, the note 'E'	/mi/
308	mei	my	/mej/
309	treaba	work	/ˈtreaba/
310	l-ai	contraction of îl + ai	/laj/
311	tată	father	[ˈta.tə]
312	plec	to leave, depart	/ˈplek/
313	sus	up	/ˈsus/
314	păi	well	/pəj/
315	s-ar	contraction of se + ar	/sar/
316	vorba	talk, talking, speaking	/ˈvorba/
317	ăla	that	[ˈə.la]
318	greu	heavy	/ɡrew/
319	vedea	to see	/veˈde̯a/
