rank	word	english	ipa
1	я	I	[ja]
2	не	not	[nʲɪ]
3	что	what; that	[ʂto]
4	в	in, at, on	[v]
5	и	and	[i]
6	ты	you	[tɨ]
7	это	this, it	[ˈɛtə]
8	на	onto, on	[nə]
9	с	with	[s]
10	он	he	[on]
11	мы	we	[mɨ]
12	как	how	[kək]
13	вы	you	[vɨ]
14	да	yes	[ˈda]
15	мне	to me	[mʲæˈnʲe]
16	у	at, by, near	[u]
17	нет	not	[nʲet]
18	меня	I	[mʲɪˈnʲa]
19	так	like that, like this	[tak]
20	но	but, yet	[no]
21	а	but, and, while, although, which usually indicates…	[ə]
22	его	his	[(j)ɪˈvo]
23	все	everyone, everybody	[fsʲe]
24	она	she, it	[ɐˈna]
25	тебя	second-person singular, nominative case: you, thou	[tʲæˈbʲa]
26	о	about, of, on	[o]
27	если	if, in case	[ˈjes⁽ʲ⁾lʲɪ]
28	за	to	[zə]
29	бы	A verbal particle used to render conditional and…	[bɨ]
30	тебе	second-person singular, nominative case: you, thou	[təˈbʲe]
31	они	they	[ɐˈnʲi]
32	чтобы	that...should	[ˈʂtobɨ]
33	же	and, but	[ʐɨ]
34	есть	to be	[jesʲtʲ]
35	просто	simply, plainly, just	[ˈprostə]
36	из	from	[ɪz]
37	к	to, toward	[k]
38	для	for	[dlʲə]
39	ну	well	[nu]
40	когда	when	[kɐˈda]
41	хорошо	well, right	[xoroˈʂo]
42	здесь	here	[zʲdʲesʲ]
43	по	used broadly to indicate action, typically involving…	[pə]
44	был	to be	[bɨɫ]
45	знаю	to know: to be familiar with or accustomed to a person,…	[ˈznajʊ]
46	то	Optionally used in the following construction to refer to…	[to]
47	только	only, but	[ˈtokə]
48	всё	everything	[fsʲɵ]
49	было	nearly, on the point of, just about	[ˈbɨɫə]
50	вас	you	[vas]
51	может	ellipsis of мо́жет быть: maybe, perhaps, possibly	[ˈmoʐɨt]
52	нас	we	[nas]
53	вот	Used before; both before and after; or after a pronoun or…	[vot]
54	от	to denote the starting point of the movement of something	[ɐt]
55	быть	to be	[bɨtʲ]
56	кто	who	[kto]
57	будет	to be	[ˈbu(j)ɪt]
58	почему	why	[pət͡ɕɪˈmu]
59	вам	you	[vam]
60	их	their	[ix]
61	очень	very, really, much, very much	[ˈot͡ɕɪnʲ]
62	могу	can, be able to	[mɐˈɡu]
63	уже	already; carries the sense of the perfect continuous tenses…	[ʊˈʐɛ]
64	спасибо	thank you, thanks	[spaˈsʲibə]
65	или	or	[ˈilʲɪ]
66	нам	we	[nam]
67	еще	alternative spelling of ещё	
68	там	there	[tam]
69	нужно	it is necessary, one must	[ˈnuʐnə]
70	сейчас	now	[sʲɪjˈt͡ɕas]
71	где	where	[ɡdʲe]
72	чем	than	[t͡ɕem]
73	хочу	first-person singular present indicative imperfective of…	[xɐˈt͡ɕu]
74	ничего	so-so, not bad, fair	[nʲit͡ɕaˈɣo]
75	этого	masculine/neuter genitive singular	[ˈɛtəvə]
76	была	to be	[bɨˈɫa]
77	мой	my, mine	[moj]
78	ее	alternative spelling of её	
79	ладно	well, all right, okay	[ˈɫadnə]
80	знаешь	to know: to be familiar with or accustomed to a person,…	[ˈzna(j)ɪʂ]
81	п	abbreviation of пара́граф	
82	до	before	[də]
83	этом	masculine/neuter prepositional singular of э́тот	[ˈɛtəm]
84	потому	therefore, because of that, consequently	[pətɐˈmu]
85	теперь	now, at present	[tʲɪˈpʲerʲ]
86	думаю	first-person singular present indicative imperfective of…	[ˈduməjʊ]
87	больше	any more	[ˈbolʲʂɨ]
88	её	her, its	[(j)ɪˈjɵ]
89	со	alternative form of с: with, off, from, etc	[sə]
90	раз	once, one day, once upon a time	[ras]
91	ему	third-person masculine singular pronoun: he, it	[(j)ɪˈmu]
92	надо	must, necessary	[ˈnadə]
93	время	time	[ˈvrʲemʲə]
94	этот	Mostly proximal demonstrative determiner. Usually…	[ˈɛtət]
95	ли	Do/does/did...? Is/are/was/were...?	[lʲi]
96	ещё	yet, more	[(j)ɪˈɕːɵ]
97	пока	for the present, for the time being	[pɐˈka]
98	даже	even	[ˈdaʐɨ]
99	привет	hello, hi	[prʲiˈvʲet]
100	сказал	masculine singular past indicative perfective of сказа́ть	[skɐˈzaɫ]
101	себя	myself, yourself, himself, herself, itself, ourselves,…	[sʲɪˈbʲa]
102	должен	supposed, meant	[ˈdoɫʐɨn]
103	тоже	also, too, as well, likewise	[ˈtoʐɨ]
104	хочешь	second-person singular present indicative imperfective of…	[ˈxot͡ɕɪʂ]
105	давай	let's	[dɐˈvaj]
106	что-то	something	[ˈʂto‿tə]
107	никогда	never, nevermore	[nʲɪkaɣˈda]
108	эй	hey!	[ɛj]
109	того	that, those	[tɐˈvo]
110	тогда	then	[tɐˈda]
111	него	third-person masculine singular pronoun: he, it	[nʲɪˈvo]
112	ни	neither, nor	[nʲɪ]
113	тут	here	[tut]
114	были	to be	[ˈbɨlʲɪ]
115	конечно	of course, certainly	[kɐˈnʲeʂnə]
116	правда	though, however, but	[ˈpravdə]
117	об	about, of, on	[əb]
118	моя	my, mine	[mɐˈja]
119	пожалуйста	please	[pɐˈʐaɫʊstə]
120	тобой	second-person singular, nominative case: you, thou	[tɐˈboj]
121	сказать	to say, to tell	[skaˈzatʲ]
122	сегодня	today	[sʲɪˈvodʲnʲə]
123	один	one	[aˈdʲin]
124	лучше	rather, would better	[ˈɫut͡ʂʂɨ]
125	можешь	can, be able to	[ˈmoʐɨʂ]
126	сюда	here, hither	[sʲʊˈda]
127	мной	I	[mnoj]
128	значит	so, then, well, therefore	[ˈznat͡ɕɪt]
129	сделать	to make, to do	[ˈzʲdʲeɫətʲ]
130	всегда	always	[fsʲɪɡˈda]
131	дело	affair, matter, concern	[ˈdʲeɫə]
132	можно	one can, one may	[ˈmoʐnə]
133	ей	dative/instrumental of она́	[jej]
134	должны	plural of до́лжен	[dɐɫʐˈnɨ]
135	порядке	prepositional singular of поря́док	[pɐˈrʲatkʲe]
136	без	without, aside from, except, minus, free of/from	[bʲɪs]
137	день	day, daytime	[dʲenʲ]
138	том	that, those	[tom]
139	буду	to be	[ˈbudʊ]
140	делать	to make, to do	[ˈdʲeɫətʲ]
141	хотел	masculine singular past indicative imperfective of хоте́ть	[xɐˈtʲeɫ]
142	чего	what for? why?	[t͡ɕɪˈvo]
143	эти	nominative plural	[ˈɛtʲɪ]
144	много	much	[ˈmnoɡə]
