rank	word	english	ipa
1	da	that	/ˈda/
2	je	of her	/je/
3	ne	not	/ne/
4	se	myself	/se/
5	i	and	/ˈi/
6	u	in, at	/u/
7	to	that, the aforementioned	/tôː/
8	sam	to be, to exist	/ˈsɐm/
9	na	on, at, in	/na/
10	ti	you	/tîː/
11	mi	we	/mîː/
12	za	for	/za/
13	si	to myself	/si/
14	li	question-forming interrogative particle	/li/
15	šta	what	/ʃtâ/
16	što	why	/ʃtô/
17	ja	I	/jâː/
18	ali	but	/âli/
19	sa	alternative form of s; used instead of s when the following…	/ˈsa/
20	su	third-person plural present of bȉti	/ˈsʊ/
21	nije	to be, to exist	/ˈnije/
22	ovo	this, this one	/ǒʋoː/
23	samo	just, only, only just, merely, solely	/sâmo/
24	me	of me	/ˈmɛ/
25	te	of you	/ˈtɛ/
26	od	from, since	/ôd/
27	a	but, and	/a/
28	ga	of him	/ˈɡa/
29	bi	to be, to exist	/ˈbi/
30	kako	how	/kâko/
31	o	on, against	/o/
32	dobro	well	/dǒbro/
33	ako	if	/âko/
34	sve	Intensity amplifier, used exclusively in phrases	/sʋê/
35	smo	to be, to exist	/ˈsmo/
36	kao	as, like	/kâo/
37	će	third-person singular/plural present of htȅti/htjȅti	/ˈtɕɛ/
38	tako	so, like that, in such a way	/tǎkoː/
39	znam	first-person singular present of znȁti	/ˈznam/
40	nisam	to be, to exist	/nǐːsam/
41	mogu	can, to be able to	/ˈmoɡʊ/
42	ste	second-person plural present of bȉti	/ˈstɛ/
43	ovde	here	/ǒːʋde/
44	pa	then	/pa/
45	bio	to be, to exist	/bîo/
46	zašto	why, what for	/zâʃto/
47	s	with, together with, along with	/s/
48	on	he	/ôːn/
49	još	more, another	/jôʂ/
50	nešto	something	/nêʃto/
51	bilo	generalization particle used before another word to express…	/bîlo/
52	redu	row	/ˈrɛdʊ/
53	biti	to be, to exist	/bîti/
54	koji	which, what	/kǒjiː/
55	kad	when	/kâd/
56	vas	of you	/ʋâːs/
57	ću	first-person singular present of htȅti/htjȅti	/ˈtɕu/
58	hvala	praise	/xʋǎːla/
59	iz	from, out of	/îz/
60	mislim	to think	/ˈmislɪm/
61	ima	he has, she has	/ˈimɐ/
62	ili	or	/îli/
63	znaš	second-person singular present of znȁti	/ˈznaʃ/
64	možda	perhaps, maybe	/mǒʒda/
65	ih	of them	/ix/
66	više	over, above	/ʋîʃe/
67	onda	then	/ôndaː/
68	sada	genitive singular of sȃd	/sâda/
69	vam	you	/ˈvam/
70	zar	used in tag questions, to ask for an affirmation to a polar…	/zâr/
71	gde	where	/ɡdê/
72	do	only, except	/dô/
73	bih	first-person singular aorist of bȉti	/ˈbih/
74	treba	girl, chick	/trěːba/
75	moj	my, mine	/môːj/
76	mu	to him	/ˈmu/
77	rekao	to say	/ˈrɛkɐo/
78	bila	to be, to exist	/ˈbɪlɐ/
79	malo	little, few, some	/mâlo/
80	kada	bathtub	/kǎda/
81	nema	mute, dumb	/ˈnɛmɐ/
82	ništa	nothing	/nîʃta/
83	nas	of us	/nâːs/
84	mene	of me, long form	/mêne/
85	ko	who	/kô/
86	ona	she	/ǒna/
87	tebe	of you	/têbe/
88	molim	to ask, request, beg	/ˈmolɪm/
89	sad	now	/sâd/
90	ni	even, either	/ˈni/
91	hajde	let's go	/xǎjde/
92	tamo	there	/tâmo/
93	može	can, to be able to	/moʒe/
94	možeš	can, to be able to	/ˈmoʒɛʃ/
95	imam	to have, possess, own	/ˈimɐm/
96	zbog	because of, due to, owing to	/zbôɡ/
97	vi	you	/ʋîː/
98	nam	to us	/ˈnam/
99	želim	first-person singular present of žèljeti	/ˈʒɛlɪm/
100	tu	here	/ˈtu/
101	hej	hi	/ɦɛj/
102	stvarno	really, truly	/stʋâːrno/
103	jesi	second-person singular present of bȉti	/ˈjesɪ/
104	jer	because, for	/jêr/
105	svi	everyone	/ˈsvi/
106	po	half	/pôː/
107	zato	so, therefore, for that/this reason, ergo	/zǎtoː/
108	baš	at all, truly, really, exactly	/bâʃ/
109	ljudi	people, men	/ʎûːdi/
110	moram	to have to; must	/ˈmôːraːm/
111	koliko	how much, how many	/kolǐko/
112	ćemo	first-person plural present of htȅti/htjȅti	/ˈtɕɛmo/
113	misliš	to think	/ˈmislɪʃ/
114	već	already	/ʋêt͡ɕ/
115	jedan	one	/jědan/
