rank	word	english	ipa
1	to	the; this; that	/ˈto/
2	sa	oneself	/sa/
3	je	to be	/je/
4	si	to be	/si/
5	som	to be	/sɔm/
6	a	and	/a/
7	na	on	/ˈna/
8	že	that	/ʒe/
9	čo	what	/ˈt͡ʃɔ/
10	nie	no	/ɲɪ̯e/
11	ako	as	/akɔ/
12	by	Used as an independent part of some conjunctions, often…	/bi/
13	s	with	/s/
14	mi	I	/mi/
15	o	about, concerning	/ɔ/
16	do	into, in, to, until	/ˈdɔ/
17	ja	I	/ja/
18	sme	to be	/zme/
19	ste	to be	/ˈscɛ/
20	áno	yes	/aːnɔ/
21	z	from	/z/
22	len	only, just	/len/
23	ma	I	/ma/
24	dobre	well	/ˈdɔbrɛ/
25	ho	genitive/accusative of on and ono	/ɦɔ/
26	keď	when	/kec/
27	ak	if	/ak/
28	ty	you	/ti/
29	ti	you	/ˈtʲi/
30	ťa	you	/ca/
31	bol	to be	/bɔl/
32	pre	for, for the sake of	/pre/
33	sú	to be	/ˈsuː/
34	tam	there	/tam/
35	prečo	why	/pret͡ʃɔ/
36	niečo	something	/ɲɪ̯et͡ʃɔ/
37	teraz	now	/teras/
38	aj	also	/aj/
39	hej	yeah, yep	/ˈɦɛj/
40	mám	to have	/maːm/
41	byť	to be	/bic/
42	ich	their, theirs	/ix/
43	bude	to be	/buɟe/
44	ju	accusative of ona	/ju/
45	takže	therefore, so	/taɡʒe/
46	ten	the; this; that	/ten/
47	nič	nothing	/ɲit͡ʃ/
48	vás	you	/vaːs/
49	kde	where?	/ˈɡɟɛ/
50	kto	who?	/kto̞/
51	po	expresses a distribution, spread in layout	/pɔ/
52	bolo	to be	/bɔlɔ/
53	bola	to be	/bɔla/
54	ešte	again	/eʃce/
55	vám	you	/vaːm/
56	toho	the; this; that	/ˈtɔɦɔ/
57	alebo	or	/aʎebɔ/
58	jej	her, hers	/jej/
59	má	to have	/maː/
60	môj	my, mine	/mu̯ɔj/
61	jeho	his, its	/jeɦɔ/
62	máš	to have	/maːʃ/
63	viem	to know	/viˈem/
64	vieš	to know	/viˈeʃ/
65	mňa	I	/mɲa/
66	veľmi	very	/veʎmi/
67	mal	to have	/mal/
68	prosím	please	/prɔsiːm/
69	možno	perhaps, maybe	/mɔʒnɔ/
70	od	from	/ˈɔd/
71	nás	we	/naːs/
72	ani	neither	/aɲi/
73	so	alternative form of s	/zo/
