rank	word	english
1	je	third-person singular present of bíti
2	ne	not
3	da	yes
4	se	oneself: myself, yourself, himself, herself, itself
5	v	in, inside, at
6	sem	hither, over here
7	to	this
8	in	and
9	si	second-person singular present of bíti
10	kaj	what
11	na	on
12	za	behind
13	ti	you; thou
14	pa	and
15	ni	negative third-person singular present of bíti
16	mi	we
17	z	with, by means of, using
18	bo	third-person singular future of bíti
19	lahko	may, with permission, to be allowed to, can
20	so	third-person plural present of bíti
21	če	if
22	bom	first-person singular future of bíti
23	me	we
24	še	still
25	kot	as, like
26	ja	yes
27	s	alternative form of z, used before a voiceless consonant
28	tako	thus
29	jaz	I
30	kako	how
31	ki	who, which, that
32	vse	everything
33	ko	when
34	ali	or
35	o	about, concerning
36	že	already
37	od	from, away from
38	zakaj	why, for what reason
39	ste	second-person plural present of bíti
40	boš	second-person singular future of bíti
41	nisem	negative first-person singular present of bíti
42	dobro	well, good
43	nekaj	something
44	tudi	also, in addition, furthermore, too
45	prav	law
46	smo	first-person plural present of bíti
47	tukaj	here, in this place
48	po	around, about
49	zdaj	now, at this moment
50	hvala	praise
51	ampak	but
52	iz	from
53	ker	because
54	kdo	who
55	več	comparative degree of velíko; more
56	ta	this
57	imam	to have
58	tu	here, in this place
59	kje	where
60	vedno	always
61	do	by
62	bomo	first-person plural future of bíti
63	moj	my
64	nič	nothing
65	vas	you
66	sva	first-person dual present of bíti
67	zelo	very
68	a	but
69	potem	then
70	prosim	please
71	pri	by, near
72	vam	you
73	sta	second/third-person dual present of bíti
74	ima	to have
75	imaš	to have
76	tam	there, in that place
77	nikoli	never, at no time
78	bodo	third-person plural future of bíti
79	toda	but, however
80	le	only, merely, just
81	mogoče	maybe, perhaps
82	pred	before, in front of
83	veliko	many
84	biti	to be, to exist
85	nisi	negative second-person singular present of bíti
86	zaradi	so
87	malo	few
88	rad	liking or preferring something, having a positive attitude…
89	seveda	of course, naturally
90	gospod	gentleman
91	brez	without
92	on	he
93	nazaj	back
94	dan	day
95	imel	masculine singular l-participle of imẹ́ti
96	morda	maybe, perhaps
97	vendar	yet, though
98	bova	first-person dual future of bíti
99	pridi	second-person singular imperative of príti
100	žal	grief, sorrow
101	čas	time
102	oče	father
103	tvoj	your, thy
104	boste	second-person plural future of bíti
105	všeč	to be liked
106	kdaj	when, at what time
107	takoj	immediately
108	dovolj	enough, sufficient
109	vi	you
110	bog	god
111	pravi	law
112	sam	alone, sole
113	videti	to see
114	življenje	life
115	hotel	hotel
116	ime	name
117	imamo	to have
118	let	flight
119	bolj	more; used to form a periphrastic comparative of adjectives…
120	sploh	at all
121	med	between
122	danes	today
123	dober	good
124	spet	again, once more
125	ljudje	human; person
126	hočem	to want
127	nihče	nobody, no one
128	skupaj	together
129	nekdo	someone, somebody
130	človek	human; person
131	niso	negative third-person plural present of bíti
132	imela	masculine dual l-participle
133	hočeš	to want
134	vedel	to lead, to conduct
135	ona	she
136	dva	two
137	denar	money
138	živjo	hello, hi
139	koliko	how much, how many
140	domov	home, homewards
141	tole	this, this one
142	oprostite	sorry!
143	g	The name of the Latin script letter G / g
144	dolgo	feminine accusative/instrumental singular
145	dokler	until
146	delo	work, labour
147	nočem	night, nighttime
148	bolje	comparative degree of dóbro
149	tri	three
150	enkrat	once, one time
151	noč	night, nighttime
152	sranje	the process of excretion
153	imate	to have
154	ve	you
155	pod	floor
156	tisti	that
157	ena	one
158	hitro	fast, quickly
159	tisto	that
160	dve	two
161	stran	away, off
162	stvar	thing
163	iti	to go
164	pomoč	help
165	en	one
166	konec	end
167	vsaj	at least
168	avto	car, automobile
169	jutri	tomorrow
170	prej	yarn
171	celo	even
172	otrok	child
173	zdravo	healthy
174	reči	to say
175	kakšen	what
176	fant	boy
177	kjer	where
178	prijatelj	friend
179	oči	eye
180	imajo	to have
181	leta	year
182	hotela	hotel
183	bodi	second-person singular imperative of bíti
184	ves	all
185	doma	home, at home
186	mesto	place, location
187	drugi	second
188	vrata	door
189	včasih	sometimes, on certain occasions
190	imeli	masculine plural l-participle
191	del	part
192	vaš	your, yours
193	govoriti	to speak
194	skoraj	almost, nearly, close
195	čem	to want
196	nocoj	tonight
197	gospa	Mrs
198	kmalu	soon
199	sin	son
200	prvi	first
201	trenutek	moment
202	takrat	then
203	mrtev	dead
204	pravkar	just, moments ago
205	svoj	one's own
206	vedeti	to know
207	njegov	his
208	dol	down, downwards
209	hoče	to want
210	eden	one
211	slabo	badly
212	poti	way, path
213	svet	sacred
214	nismo	negative first-person plural present of bíti
215	mož	man
216	pet	five
217	zunaj	outside
218	bosta	second/third-person dual future of bíti
219	niste	negative second-person plural present of bíti
220	noter	inside, indoors
221	moški	masculine
222	ženska	female, woman
223	tip	type
224	narediti	to make; to render
225	brat	brother
226	dekle	girl
227	mestu	place, location
228	naš	our, ours
229	razen	aside from
230	primer	example
231	zjutraj	in the morning
232	najbolj	most; used to form a periphrastic superlative of adjectives…
233	blizu	close, near
234	adijo	goodbye
235	žena	wife
236	jutro	morning
237	teden	week
238	verjeti	to believe
239	pot	way, path
240	nad	over, above
241	priti	to come
242	najti	to find, to encounter
243	nisva	negative first-person dual present of bíti
244	pomagal	to help
245	gor	up, upwards
246	oni	they
247	ubiti	to kill
248	srce	heart
249	vprašanje	question
250	počasi	slowly
251	smrt	death
252	leto	year
253	čeprav	although, even though, though
254	notri	inside, indoors, in
255	imeti	to have
256	pomagam	to help
257	vami	you
258	ženske	female, woman
259	smrti	death
260	štiri	four
261	pomagati	to help
262	priložnost	opportunity
263	popolnoma	completely, fully, entirely
264	končno	at last
265	drug	other, another, different
266	dajte	to give
267	njen	her, hers
268	imava	to have
269	ljubezen	love
270	sestra	sister
271	daleč	far
272	najboljši	superlative degree of dọ́ber
273	pač	indeed, certainly
274	večer	evening
275	načrt	plan
276	pridem	to come
277	kri	blood
