rank	word	english
1	de	of, from
2	que	that
3	no	not
4	a	to
5	la	the
6	el	the
7	y	and
8	es	to be
9	en	in, at, on
10	lo	it; the
11	un	a, an
12	por	by
13	qué	what; which
14	me	me
15	una	a, an
16	los	the
17	se	oneself, himself, herself
18	te	yourself
19	con	with
20	para	for, to
21	está	to be
22	mi	my
23	pero	but
24	sí	yes, yeah
25	si	if, whether
26	bien	well
27	eso	that one
28	su	his, her, their
29	las	the
30	yo	first-person singular pronoun in the nominative case; I
31	del	of the, from the
32	como	as
33	aquí	here
34	tu	your
35	al	to the, at the
36	más	more; -er
37	le	to him, for him; dative of él
38	esto	this
39	todo	all; every
40	ya	now, right now, anymore, no longer
41	estoy	to be
42	ahora	now
43	muy	apocopic form of mucho; very
44	ha	have; forms the perfect aspect
45	esta	this
46	así	like this; like that; as such; thus; so; thereby; this way,…
47	vamos	to go
48	algo	something, anything
49	hay	have; forms the perfect aspect
50	bueno	good
51	tengo	to have; to possess
52	él	he, him, masculine personal third person subject and…
53	cuando	when
54	estás	to be
55	sé	to know, to understand
56	tú	you
57	nos	we
58	nada	nothing, zero, zilch, not...anything
59	cómo	how?
60	este	this
61	o	or
62	he	here is
63	ser	to be
64	tiene	to have; to possess
65	puedo	to be able to, can
66	ella	she, her
67	quiero	to desire, to want, to want to
68	hacer	to do, perform, execute, carry out
69	fue	to go
70	gracias	grace, charm
71	vez	time, instance
72	era	to be
73	soy	to be
74	sólo	superseded spelling of solo
75	todos	all; every
76	porque	because
77	son	to be
78	tienes	to have; to possess
79	creo	to believe
80	voy	to go
81	sabes	to know, to understand
82	estaba	to be
83	puede	to be able to, can
84	eres	to be
85	ese	that
86	usted	second person formal; you
87	entonces	then, next, thereupon, at that time, at that point
88	hola	hello, hi, hey
89	solo	only; solely; just
90	verdad	truth
91	casa	to marry, wed someone to
92	tan	so, as
93	quién	who?, whom?; whose?
94	sus	your
95	tiempo	time
96	dos	two
97	esa	that
98	nunca	never
99	dónde	where?; in what place?
100	va	to go
101	oh	oh
102	favor	favor/favour
103	mucho	much, a lot of
104	mí	me
105	quieres	to desire, to want, to want to
106	siento	to feel
107	señor	mister, sir, lord
108	mejor	better
109	hace	ago
110	has	have; forms the perfect aspect
