rank	word	english
1	jag	I
2	det	it; third-person singular, referring to nouns of neuter…
3	är	to occupy a place, to be
4	du	you
5	att	Used to indicate the infinitive form of a verb; compare…
6	inte	not
7	en	object form of the indefinite pronoun man
8	och	and; used to connect two homogeneous words or phrases
9	har	To have; to possess, or to have as a property; to come into…
10	vi	we
11	på	on, on top of; touching from above
12	i	used to signify that an action is done with intensity
13	för	too
14	han	he, the third person singular, masculine, nominative case
15	med	also, as well, too
16	som	at its/his/hers
17	om	if
18	var	where; at which place
19	vad	what
20	mig	me
21	här	here; at this time or at this place
22	dig	you
23	så	so, like that, in such a way
24	den	it
25	kan	"to can", to be able to
26	till	to
27	de	they
28	men	but; introducing a clause that contrasts with the preceding…
29	ett	a, an
30	ska	ska; a style of dance music
31	ni	you
32	av	from
33	hon	she; the third-person, singular, feminine pronoun in the…
34	vill	to want, desire
35	ja	yes
36	vet	to know; to be certain about, to have knowledge or…
37	nu	now
38	nej	no; a negative answer
39	bara	just, only
40	hur	how
41	min	my
42	kommer	to come
43	där	there; at that place
44	måste	must, have to
45	honom	him; oblique of han
46	gör	to do
47	din	your, yours
48	skulle	will, be going to, shall, is to; were to; was to
49	när	when
50	då	then; at that time
51	kom	to come
52	ha	To have; to possess, or to have as a property; to come into…
53	bra	well
54	får	to get, to receive
55	man	people in general; one, you, they, people, etc
56	vara	to occupy a place, to be
57	oss	us
58	ut	out
59	ta	take; to grab and move to oneself
60	er	you
61	göra	work, task
62	okej	okay, all right
63	eller	or
64	hade	To have; to possess, or to have as a property; to come into…
65	från	from
66	varför	why
67	dem	them; accusative/dative of de
68	alla	everyone
69	tror	to believe, to think
70	sig	reflexive case of han, hon, den, det, de or man; compare…
71	allt	everything, all
72	henne	her; object form of hon
73	upp	up
74	sa	to say
75	ingen	no
76	tack	thanks, thank you
77	gå	to walk
78	in	into, to in
79	igen	again
80	få	few
81	nåt	syncopic form of något
82	se	to see
83	går	to walk
84	mycket	much, a lot
85	hej	hi, hello
86	vem	who, whom
87	kanske	maybe, perhaps, possibly
88	lite	a little, to a small extent; somewhat
89	behöver	to need
90	ser	to see
91	mitt	in the middle, right
92	aldrig	never
93	finns	to exist; to be
94	än	still, yet
95	inget	synonym of ingenting
96	efter	after
97	blir	to become
98	ju	the...the
99	hans	his
100	sen	late
101	bli	to become
102	gjorde	to do
103	två	two
104	nån	pronunciation spelling of någon
105	tillbaka	back, in return
106	tar	take; to grab and move to oneself
107	mer	much, a lot
108	något	any, some, anything, something
109	över	over; above; more than
110	säger	to say
111	fick	to get, to receive
112	ditt	you
113	ge	to give
114	väl	well
115	också	too, as well, also
116	mina	my
117	åt	for
118	nog	enough, sufficient
119	fan	A intensifier
120	kunde	"to can", to be able to
121	år	a year
122	säga	to say
123	någon	any
124	mamma	mom, mum, mother
125	varit	to occupy a place, to be
126	ner	down; in a direction downwards
127	ville	to want, desire
128	vänta	to wait
129	mot	to, toward
130	pappa	dad, father
131	andra	other, else, other one
132	borde	should, ought to
133	känner	to feel, to sense
134	rätt	rightly, correctly
135	vid	next to, beside, by, at
136	några	some; plural form of någon
137	hela	whole
138	såg	to see
139	hit	to here, hither, here
140	prata	to talk, to speak
141	komma	to come
142	låt	to make sound
143	detta	this, that
144	gjort	to do
145	blev	to become
146	själv	oneself, myself, yourself, himself, herself, itself
147	tog	take; to grab and move to oneself
148	alltid	always
149	vår	our; belonging to us
150	utan	without
151	fel	wrong, wrongly, incorrectly, erroneously
152	hem	home
153	dag	a day
154	dina	your, yours
155	liv	life
156	menar	to mean; to convey, or to want to convey
157	verkligen	really, truly
158	visst	with certainty, certainly
159	va	apocopic form of vad
160	förstår	to understand
161	sin	his, her, its, their
162	tid	time
163	trodde	to believe, to think
164	gick	to walk
165	älskar	to love
166	sätt	to sit; to move oneself into a sitting position
167	berätta	to tell
168	tänker	to think in one's head
169	döda	dead
170	veta	to know; to be certain about, to have knowledge or…
171	tre	three
172	många	many; plural of mången
173	folk	people
174	sluta	to stop, to end
175	precis	precisely; exactly
176	inga	no
177	hennes	her
178	titta	to look; keep one's eyes open as to be able to see
179	innan	before
180	visste	to know; to be certain about, to have knowledge or…
181	gillar	to like
182	barn	a child
183	bättre	good
184	hjälpa	to help; give aid or assistance to
185	under	under; below; beneath
186	förlåt	to forgive
187	gång	walking
188	bort	away, off
189	hjälp	to help; give aid or assistance to
190	händer	a hand
191	just	just
192	helt	entirely, absolutely, wholly, completely
193	säg	to say
194	tycker	to be of the opinion, to think
195	första	first
196	död	dead
197	håll	to hold
198	länge	a long time, during a long time, long
199	hör	to hear
200	sett	to see
201	ledsen	sad
202	snälla	please
203	saker	a thing
204	hitta	to find
205	fortfarande	still; up to a time, as in the preceding time
206	står	stand; be in an upright position
207	pengar	money
208	god	good, morally commendable
209	samma	same
210	ens	even
211	ursäkta	excuse me!, pardon, I'm sorry!
212	heter	to be called; to have as one's name, to hight
213	håller	to hold
214	vilken	which
215	enda	only, sole; also in the masculine form ende
216	gud	a god
217	våra	our, ours, plural of vår
218	hand	a hand
219	borta	away, gone, lost
220	mår	may
221	hallå	hello
222	hände	to happen; chiefly what happens quickly or for a short time
223	ur	out of, from
224	problem	a problem, an issue
225	vän	a friend
226	ger	to give
227	stanna	to stay; to remain at a place
228	sak	a thing
229	dom	pronunciation spelling of de
230	försöker	to attempt, to try
231	låter	to make sound
232	far	to go, to travel
233	kvar	left, remaining
234	väg	a road
235	annan	other, else, other one
236	redan	already
237	längre	far
238	jävla	damn, goddamn, bloody, fucking
239	helvete	Hell
240	pratar	to talk, to speak
241	väldigt	very, really
242	åh	oh
243	herregud	my God, good Lord
244	vart	to where, to which place, whither, whereto?
245	dit	to there, thither, there
246	kväll	evening
247	morgon	morning
248	fått	to get, to receive
249	snart	soon; within a short time
250	ute	outside, outdoors
251	fråga	a question
252	sitt	his, her, its, their
253	tiden	time
254	kör	to drive a vehicle
255	deras	their; belonging to them
256	tänkte	to think in one's head
257	namn	name
258	verkar	to work, to act
259	tro	belief
260	jo	yes; used as a disagreement to a negative statement or a…
261	varje	each; every
262	fram	forth, forward, out
263	bästa	good
264	fru	wife
265	först	first, firstly; having no predecessor
266	träffa	to hit a target
267	säkert	safely
268	slut	to stop, to end
269	sedan	then, after this, afterwards; next in order
270	hos	at someone's place or building, usually their home or…
271	ingenting	nothing
272	därför	therefore
273	åka	to go by using something more or other than the human or…
274	visa	wise
275	säker	safe
276	lämna	to leave; to not take away with oneself but leave as…
277	börjar	to begin; to start
278	vägen	a road
279	genom	through
280	gav	to give
281	härifrån	from here; herefrom
282	jobb	job; a task
283	hålla	to hold
284	son	a son
285	stor	big, large; of large size
286	vänner	a friend
287	hittade	to find
288	annat	other things, other stuff
289	hoppas	to jump
290	sina	his, her, its, their
291	hörde	to hear
292	vilket	which, who, whom, what a; neuter form of vilken
293	kolla	to look, to watch
294	minns	to remember, to recall
295	ihop	together
296	rädd	afraid, scared
297	sista	last
298	även	also
299	era	your, yours
300	sex	six
301	vårt	our; belonging to us
302	kunna	"to can", to be able to
303	ses	to see
304	del	part; share
305	nästa	next; following in a sequence
306	fem	five
307	livet	life
308	nya	new
309	människor	a human, a human being
310	bilen	a car
311	dö	to die
312	riktigt	really
313	klarar	to manage, to succeed in doing
314	höra	to hear
315	tills	until
316	liten	small, little; of small size
317	betyder	to mean
318	tänk	to think in one's head
319	tag	a grip, a hold
320	lyssna	to listen
321	polisen	police
322	ändå	still, yet
323	sagt	to say
324	hemma	at home; at one’s place of residence
325	sant	true; according to the truth
326	världen	world
327	fast	fixed, firmly, steadily
328	faktiskt	actually, for real
329	ligger	to lie; be in a horizontal position
330	skit	shit
331	idag	today
332	minuter	minute
333	familj	family
334	runt	around; aimlessly
335	blivit	to become
336	klart	clearly
337	fall	to fall
338	väntar	to wait
339	dog	to die
340	fyra	four
341	dra	to pull
342	dollar	dollar
343	åker	to go by using something more or other than the human or…
344	kul	fun
345	tala	to speak, to talk
346	illa	badly
347	män	man
