rank	word	english	ipa
1	ang	marks the agent, doer, or experiencer of the action in…	/ʔaŋ/
2	sa	the recipient or beneficiary of an action: to, for	/sa/
3	na	already; now; anymore	/na/
4	ng	the patient, undergoer, or theme of the action in…	/naŋ/
5	mo	Honorific alternative letter-case form of mo, sometimes…	/mo/
6	ko	my; mine	/ko/
7	hindi	no; not	/hinˈdiʔ/
8	ako	1st person nominative pronoun: I; me	/ʔaˈko/
9	ka	you	/ka/
10	at	and	/ʔat/
11	mga	approximately; around; about	/maˈŋa/
12	ay	Separates the subject and the predicate. Indicative of a…	/ʔaj/
13	lang	only; just	/ˈlaŋ/
14	ba	marks a sentence as interrogative	/ba/
15	ito	this	/ʔiˈto/
16	siya	he; she	/siˈa/
17	kung	if	/kuŋ/
18	para	for; so; in order to	/ˈpaɾa/
19	si	direct marker placed before names or terms of address of…	/si/
20	ano	what	/ʔaˈno/
21	kayo	you	/kaˈjo/
22	dito	here	/ˈdito/
23	alam	knowledge; learning; wisdom	/ʔaˈlam/
24	may	particle used as an existential marker: to be; to have	/maj/
25	tayo	we; us	/ˈtajo/
26	pero	but	/ˈpeɾo/
27	lahat	all; everyone; everybody	/laˈhat/
28	pa	yet	/pa/
29	nga	Used to emphasize affirmation, confirmation, or something…	/ˈŋa/
30	gusto	want; like; desire	/ɡusˈto/
31	oo	yes	/ˈʔoʔo/
32	ni	of; possessive particle	/ni/
33	niya	3rd person singular possessive pronoun: his; her; ~ of his;…	/niˈa/
34	wala	nothing; to not exist; there is no	/waˈlaʔ/
35	natin	by us; of us	/ˈnatin/
36	naman	used after predicate adjectives or adjectives in…	/naˈman/
37	o	or	/ˈʔo/
38	ngayon	now; today; by now; yet; currently; at present	/ŋaˈjon/
39	kami	we; us	/kaˈmi/
40	sige	OK! alright!	/ˈsiɡe/
41	namin	by us, of us	/ˈnamin/
42	sila	they	/siˈla/
43	kailangan	necessary	/kaʔiˈlaŋan/
44	bakit	why; for what reason	/ˈbakit/
45	yan	alternative spelling of 'yan	
46	kaya	ably; in an able manner	/ˈkaja/
47	ikaw	you	/ʔiˈkaw/
48	di	no; not	/ˈdiʔ/
49	akin	my	/ˈʔakin/
50	iyon	that	/ʔiˈon/
