rank	word	english	ipa
1	я	I	[ja]
2	не	not	[nɛ]
3	в	in, at	[ʋ]
4	що	that	/t͡ʃ.tʷɔ/
5	на	onto	[na]
6	це	this, it	[t͡sɛ]
7	ти	you; thou	[tɪ]
8	так	so, thus	[tak]
9	у	in, at	
10	і	and, also, even	[i]
11	з	from	
12	а	and, and yet, but	[a]
13	ми	we	[mɪ]
14	все	all, everything	[ʍsɛ]
15	тебе	you; thou	[teˈbɛ]
16	він	he	/yn/
17	як	how	[jak]
18	за	indicating period or circumstance in which something…	[za]
19	ви	you	[ʋɪ]
20	до	to, toward	[dɔ]
21	мене	I	[meˈnɛ]
22	мені	I	[meˈnʲi]
23	ні	no	[nʲi]
24	але	but	[ɐˈɫɛ]
25	да	Used as an emphasiser, usually at the start of a sentence…	[da]
26	просто	just, simply, merely	[ˈprɔstɔ]
27	тут	here	[tut]
28	для	for	[dʲlʲa]
29	його	his	[jɔˈɦɔ]
30	о	at	[ɔ]
31	но	but, yet	
32	то	that	[ˈtɔ]
33	ну	so, therefore	[nu]
34	знаю	first-person singular present indicative of зна́ти impf	[ˈznajʊ]
35	про	about, concerning	[prɔ]
36	нас	we	[nas]
37	вас	you	[ʋas]
38	вони	they	[wɔˈnɪ]
39	вона	she	[wɔˈna]
40	тобі	you; thou	[toˈbʲi]
41	ж	stresses the topic; is, really, right, isn't it, etc	[ʒɛ]
42	его	ego	[ˈɛɦɔ]
43	там	there	[tam]
44	якщо	if, in case introduces a real condition; for unreal…	[jɐkʃˈt͡ʃɔ]
45	ще	yet, more	[ʃt͡ʃɛ]
46	та	and, also, even	[ta]
47	добре	well	[ˈdɔbre]
48	щоб	so that, in order that; in order to	[ʃt͡ʃɔb]
49	є	there is, there are	[jɛ]
50	вам	you	[ʋam]
51	по	in the direction of	[pɔ]
52	нам	we	[nam]
53	хочу	first-person singular present imperfective of хоті́ти	[ˈxɔt͡ʃʊ]
54	коли	when	[kɔˈɫɪ]
55	б	alternative form of би following a vowel	[b]
56	вже	alternative form of уже́: already	[wʒɛ]
57	було	to be	[bʊˈɫɔ]
58	її	her, its	[jiˈji]
59	був	masculine singular past indicative imperfective of бу́ти	[buu̯]
60	може	third-person singular present indicative imperfective of…	[ˈmɔʒe]
61	чи	interrogative particle: introduces a question	[t͡ʃɪ]
62	дуже	very, much, very much	[ˈduʒe]
63	від	from	[ʋʲid]
64	чому	why	[t͡ʃoˈmu]
65	буде	third-person singular future indicative imperfective of…	[ˈbude]
66	хто	who	[xtɔ]
67	давай	come on!	[dɐˈʋai̯]
68	тому	therefore, because of that, consequently	[toˈmu]
69	де	where	[dɛ]
70	треба	rite, ceremony	[ˈtrɛbɐ]
71	от	there, here, now. Used demonstratively to point to…	[ɔt]
