rank	word	english	ipa
1	ہے	vocative particle: O!	/ɦɛː/
2	میں	first-person singular subjective personal pronoun: I	/mɛ̃ː/
3	کے	part of, from	/keː/
4	نہیں	no, not, nay	/nə.ɦĩː/
5	آپ	second-person subjective or objective personal pronoun,…	/ɑːp/
6	کی	part of, from	/kiː/
7	ایک	one	/eːk/
8	سے	comparative postposition: than	/seː/
9	ہیں	to be, to exist	/ɦɛ̃ː/
10	کو	in, at the time of	/koː/
11	اس	third-person singular objective personal pronoun: him, her,…	/ɪs/
12	نے	The marker of the ergative case with perfective-aspect…	/neː/
13	یہ	this; he; she; it; they	/jəɦ/
14	کیا	initial interrogative particle	/kjɑː/
15	تم	second-person subjective or objective personal pronoun,…	/t̪ʊm/
16	اور	more	/ɔːɾ/
17	وہ	he, she, it, they	/ʋəɦ/
18	ہو	to be, to exist	/ɦoː/
19	کر	to do	/kəɾ/
20	ہم	first-person plural subjective or objective personal…	/ɦəm/
21	کہ	that	[ke]
22	لئے	to take, get	/lɪ.jeː/
23	پر	on	/pəɾ/
24	تھا	to be, to exist	/t̪ʰɑː/
25	ہوں	to be, to exist	/ɦũː/
26	کا	part of, from	/kɑː/
27	مجھے	first-person singular subjective personal pronoun: I	/mʊ.d͡ʒʱeː/
28	بھی	too, also, as well	/bʱiː/
29	تو	second-person singular subjective personal pronoun: you,…	/t̪uː/
30	ٹھیک	exactly	/ʈʰiːk/
31	کچھ	something	/kʊt͡ʃʰ/
32	کوئی	any	/koː.iː/
33	سب	all	/səb/
34	یہاں	here	/jə.ɦɑ̃ː/
35	ساتھ	together	/sɑːt̪ʰ/
36	ہاں	yes	/ɦɑ̃ː/
37	ان	third-person plural objective personal pronoun: them	/ɪn/
38	گیا	to go, to leave	/ɡə.jɑː/
39	اسے	this; he; she; it; they	/ɪseː/
40	اب	now, presently	/əb/
41	طرح	method, manner, mode	/t̪ə.ɾɑː/
42	لیکن	but	/leː.kɪn/
43	صرف	only, just	/sɪɾf/
44	بہت	many, much	/bə.ɦoːt̪/
45	گے	gay, homosexual	/ɡeː/
46	بات	talk, conversation	/bɑːt̪/
47	زیادہ	more, much, a lot, excessively	/zjɑː.d̪ɑ(ː)/
48	جی	the honorific particle, usually appended to names and titles	/d͡ʒiː/
49	کسی	some	/kɪ.siː/
50	دیا	gift	/d̪ə.jɑː/
51	دو	two	/d̪oː/
52	کرنا	to do	/kəɾ.nɑː/
53	تھے	to be, to exist	/t̪ʰeː/
54	میری	first-person singular possessive pronoun: mine	/meː.ɾiː/
55	باہر	outside	/bɑː.ɦəɾ/
56	تمہیں	second-person subjective or objective personal pronoun,…	/t̪ʊm.ɦẽː/
57	ضرورت	necessity, need, requirement	/zə.ɾuː.ɾət̪/
58	ہی	emphatic particle	/ɦiː/
59	حاصل	obtained, acquired; achieved	/ɦɑː.sɪl/
60	جو	who; whoever	/d͡ʒoː/
61	طور	hill, mount	/t̪uːɾ/
62	وہاں	there	/ʋə.ɦɑ̃ː/
63	وقت	time	/ʋəqt̪/
64	اچھا	well	/ət̪.t͡ʃʰɑː/
65	کام	task, action, work	/kɑːm/
66	اگر	if	/ə.ɡəɾ/
67	کیوں	why	/kjõː/
68	یا	or	/jɑː/
69	کرو	Polite form of کر	/kəɾoː/
70	کس	what? subjective interrogative pronoun used to refer to…	/kʊs/
71	کبھی	sometimes	/kə.bʱiː/
72	لے	to take, get	/leː/
73	پہلے	direct masculine plural	/pəɦ.leː/
74	جب	when	/d͡ʒəb/
75	کہاں	where	/kə.ɦɑ̃ː/
76	واپس	back	/ʋɑː.pəs/
77	ہمیں	first-person plural subjective or objective personal…	/ɦə.mẽː/
78	نہ	not, don't, do not	/nə/
79	ہر	each	/ɦəɾ/
80	مجھ	first-person singular subjective personal pronoun: I	/mʊd͡ʒʱ/
81	پاس	near, nearby	/pɑːs/
82	طرف	side	/t̪ə.ɾəf/
83	لوگوں	people	/loː.ɡõː/
84	تمام	all	/t̪ə.mɑːm/
85	آدمی	man	/ɑːd̪.miː/
86	تھی	to be, to exist	/t̪ʰiː/
87	کون	subjective interrogative pronoun used to refer to persons:…	/kɔːn/
88	میرا	first-person singular possessive pronoun: mine	/meː.ɾɑː/
89	پتہ	address	/pət̪.ɑ(ː)/
90	بعد	posterior, subsequent	/bɑːd̪/
91	لوگ	people	/loːɡ/
92	مدد	help, assistance	/mə.d̪əd̪/
93	شکریہ	thanks, thank you	/ʃʊk.ɾɪj.ɑ(ː)/
94	گھر	house, home	/ɡʱəɾ/
95	بند	dam	/bənd̪/
96	ارے	hey, ho, oh, whew, yo	/ə.ɾeː/
97	یقین	sure	/jə.qiːn/
98	نام	name	/nɑːm/
99	لیے	to take, get	/lɪ.jeː/
100	اوہ	oh no!	/uːɦ/
101	جانا	to go, to leave	/d͡ʒɑːnɑː/
102	کوشش	effort	/koː.ʃɪʃ/
103	ماں	mother	/mɑː̃/
104	ہوا	to be, to exist	/ɦuː.ɑː/
105	خیال	thought, idea, opinion; reasoning, contemplation	/xə.jɑːl/
106	رات	night, nighttime	/ɾɑːt̪/
107	وجہ	face, visage, countenance, aspect	/ʋəd͡ʒə/
108	دن	day	/d̪ɪn/
109	بار	time, turn, occasion, instance, occurrence	/bɑːɾ/
110	بس	merely, only	/bəs/
111	خدا	God	/xʊ.d̪ɑː/
112	کیلئے	alternative form of کے لئے	/keː.lɪ.jeː/
113	دور	far, far off	/d̪uːɾ/
114	جگہ	place, site	/d͡ʒə.ɡɑ(ː)/
115	انتظار	wait, waiting	/ɪn.t̪ɪ.zɑːɾ/
116	مطلب	purpose, motive	/mət̪.ləb/
117	دنیا	world	/d̪ʊn.jɑː/
118	تیار	ready	/t̪ə̯i.jɑːɾ/
119	صاحب	sir	/sɑː.ɦɪb/
120	ابھی	immediately, right away, shortly, at once, this instant,…	/əbʱiː/
121	استعمال	use, usage, utilisation, employment	/ɪs.t̪eː.mɑːl/
122	ہمیشہ	always	/ɦə.meː.ʃɑ(ː)/
123	بالکل	absolutely	/bɪl.kʊl/
124	ہونا	to be, to exist	/ɦoː.nɑː/
125	پاگل	crazy, mad, insane	/pɑː.ɡəl/
126	جنگ	war	/d͡ʒəŋɡ/
127	والد	father	/ʋɑː.lɪd̪/
