rank	word	english	ipa
1	tôi	I/me	[toj˧˧]
2	không	Negates the meaning of the modified verb or adjective: not	[xəwŋ͡m˧˧]
3	là	Used to indicate something is bound to happen whenever an…	[laː˨˩]
4	anh	I/me, a male who's slightly older than you, or still young…	[ʔajŋ̟˧˧]
5	có	do, does, did	[kɔ˧˦]
6	ta	we; us	[taː˧˧]
7	của	of	[kuə˧˩]
8	đi	away; out of sight	[ʔɗi˧˧]
9	đã	having completed this action, perfect aspect	[ʔɗaː˦ˀ˥]
10	đó	that place over there	[ʔɗɔ˧˦]
11	sẽ	marks the future tense	[sɛ˦ˀ˥]
12	chúng	Pluralizing particle for pronouns	[t͡ɕʊwŋ͡m˧˦]
13	gì	what; whatever	[zi˨˩]
14	một	one	[mot̚˧˨ʔ]
15	được	particle that expresses ability, possibility	[ʔɗɨək̚˧˨ʔ]
16	và	and	[vaː˨˩]
17	cô	I/me, your paternal aunt	[ko˧˧]
18	làm	into	[laːm˨˩]
19	phải	yes	[faːj˧˩]
20	rồi	already	[zoj˨˩]
21	người	you	[ŋɨəj˨˩]
22	này	this	[naj˨˩]
23	cho	Dative marker	[t͡ɕɔ˧˧]
24	em	pronoun used to refer to any person described by the noun…	[ʔɛm˧˧]
25	đây	this place here	[ʔɗəj˧˧]
26	con	I/me	[kɔn˧˧]
27	sao	why	[saːw˧˧]
28	biết	to know; to be aware of	[ʔɓiət̚˧˦]
29	ông	you, my grandfather	[ʔəwŋ͡m˧˧]
30	nói	to speak, to talk, to say, to tell	[nɔj˧˦]
31	nó	he; him; she; her	[nɔ˧˦]
32	thể	opportunity; swoop	[tʰe˧˩]
33	với	to or by	[vəːj˧˦]
34	cậu	I/me, your mother's brother	[kəw˧˨ʔ]
35	thế	thus; so; like that	[tʰe˧˦]
36	lại	once more, indicates an action or state is resumed	[laːj˧˨ʔ]
37	ra	to go out, to leave	[zaː˧˧]
38	vậy	so, thus	[vəj˧˨ʔ]
39	để	in order to, so that, for, to	[ʔɗe˧˩]
40	nào	which	[naːw˨˩]
41	ấy	that; those	[ʔəj˧˦]
42	cái	utensil for	[kaːj˧˦]
43	đang	marks the continuous, imperfect aspect of an action or state	[ʔɗaːŋ˧˧]
44	muốn	to want	[muən˧˦]
45	trong	in; inside; within	[t͡ɕawŋ͡m˧˧]
46	mà	but; however; nevertheless	[maː˨˩]
47	như	like; as; comparable to; as though; as if	[ɲɨ˧˧]
48	nhưng	but; yet	[ɲɨŋ˧˧]
49	khi	when	[xi˧˧]
50	những	Plural marker	[ɲɨŋ˦ˀ˥]
51	đến	to	[ʔɗen˧˦]
52	đâu	where	[ʔɗəw˧˧]
